phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,4.027478e+00,3.554720e-04,6.339200e-05,2.079200e-04,5.219200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.597270e+00,3.979840e-04,6.649600e-05,2.375360e-04,5.819200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.513231e+00,4.075040e-04,6.977600e-05,2.396480e-04,6.139200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.196802e+00,4.478400e-04,7.356800e-05,2.694400e-04,6.739200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.120871e+00,4.587360e-04,7.660800e-05,2.700160e-04,7.217600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.075179e+00,4.655520e-04,7.969600e-05,2.721440e-04,7.422400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.828018e+00,5.062400e-04,8.214400e-05,3.016320e-04,8.113600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-16,2.655384e+00,5.391520e-04,1.079200e-04,3.028160e-04,8.451200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.595385e+00,5.516160e-04,1.144480e-04,3.052160e-04,8.745600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.407083e+00,5.947680e-04,1.210720e-04,3.339040e-04,9.449600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.353396e+00,6.083360e-04,1.279680e-04,3.358720e-04,9.782400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.305433e+00,6.209920e-04,1.359520e-04,3.368480e-04,1.005440e-04,1.440000e-05,
-1.000000,1024,OS2-i8-accu-9,3.459710e+00,4.138080e-04,1.235520e-04,2.068800e-04,5.120000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.126432e+00,4.579200e-04,1.269440e-04,2.376000e-04,5.705600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.043279e+00,4.704320e-04,1.331520e-04,2.397600e-04,6.035200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.815825e+00,5.084320e-04,1.347520e-04,2.687840e-04,6.692800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.753269e+00,5.199840e-04,1.395040e-04,2.706080e-04,7.054400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-14,2.703849e+00,5.294880e-04,1.421440e-04,2.733920e-04,7.432000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-15,2.502265e+00,5.721440e-04,1.460480e-04,3.021600e-04,8.142400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-16,2.369412e+00,6.042240e-04,1.725920e-04,3.029760e-04,8.374400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.319718e+00,6.171680e-04,1.791360e-04,3.049120e-04,8.828800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.160898e+00,6.625280e-04,1.867200e-04,3.346240e-04,9.449600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.119138e+00,6.755840e-04,1.939680e-04,3.363360e-04,9.758400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-20,2.084337e+00,6.868640e-04,2.007520e-04,3.371200e-04,1.008320e-04,1.443200e-05,
-1.000000,1024,OS2-f8-fast-9,2.709171e+00,5.284480e-04,8.352000e-05,3.348800e-04,7.668800e-05,1.020800e-05,
