phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.708014e+00,3.714720e-04,7.028800e-05,2.094560e-04,5.539200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.989142e+00,4.096800e-04,7.340800e-05,2.372320e-04,6.102400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.750291e+00,4.241760e-04,7.692800e-05,2.417600e-04,6.553600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-12,6.149513e+00,4.656160e-04,8.086400e-05,2.708960e-04,7.187200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.028329e+00,4.749760e-04,8.510400e-05,2.732320e-04,7.388800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,5.888292e+00,4.862720e-04,8.969600e-05,2.737760e-04,7.859200e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.402311e+00,5.300160e-04,9.494400e-05,3.046560e-04,8.454400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.103433e+00,5.610560e-04,1.243840e-04,3.023360e-04,8.609600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.954649e+00,5.779040e-04,1.320800e-04,3.064160e-04,9.048000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.592055e+00,6.235360e-04,1.397440e-04,3.358560e-04,9.740800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.483451e+00,6.386400e-04,1.476160e-04,3.381440e-04,1.007360e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.386523e+00,6.527520e-04,1.565120e-04,3.387040e-04,1.036800e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.940621e+00,4.125440e-04,1.119840e-04,2.098080e-04,5.414400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.316872e+00,4.532800e-04,1.151840e-04,2.389600e-04,6.099200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.152050e+00,4.654240e-04,1.188640e-04,2.419840e-04,6.508800e-05,1.636800e-05,
-1.000000,1024,OS2-i8-accu-12,5.649964e+00,5.067840e-04,1.226880e-04,2.697600e-04,7.161600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.564063e+00,5.146080e-04,1.244960e-04,2.727040e-04,7.352000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.448696e+00,5.255040e-04,1.293280e-04,2.737920e-04,7.828800e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.039054e+00,5.682240e-04,1.316960e-04,3.056160e-04,8.440000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.868915e+00,5.880800e-04,1.487040e-04,3.049440e-04,8.641600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.760253e+00,6.015040e-04,1.544960e-04,3.067840e-04,9.137600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-18,4.459987e+00,6.420000e-04,1.592000e-04,3.341920e-04,9.710400e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.350797e+00,6.581120e-04,1.648800e-04,3.393280e-04,1.006880e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.305058e+00,6.651040e-04,1.688960e-04,3.388160e-04,1.038400e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.018142e+00,5.705920e-04,1.105920e-04,3.333120e-04,8.971200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.699377e+00,6.092960e-04,1.256000e-04,3.488800e-04,9.680000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.246825e+00,6.742240e-04,1.389760e-04,3.864320e-04,1.065920e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,3.975143e+00,7.203040e-04,1.624160e-04,4.012480e-04,1.141120e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-13,2.909254e+00,9.842080e-04,3.757760e-04,4.384320e-04,1.244160e-04,1.641600e-05,
-1.000000,1024,OS2-f8-fast-14,2.756152e+00,1.038880e-03,4.095840e-04,4.512800e-04,1.300320e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-15,2.561212e+00,1.117952e-03,4.402240e-04,4.890880e-04,1.402720e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,2.428280e+00,1.179152e-03,4.755040e-04,5.038400e-04,1.480320e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-17,2.263273e+00,1.265120e-03,5.090400e-04,5.425280e-04,1.590080e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-18,2.181631e+00,1.312464e-03,5.352960e-04,5.560800e-04,1.645280e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-19,2.063285e+00,1.387744e-03,5.656800e-04,5.847520e-04,1.792320e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-20,1.948701e+00,1.469344e-03,5.980160e-04,6.213760e-04,1.891200e-04,2.457600e-05,
-1.000000,1024,OS2-f8-accu-9,4.924111e+00,5.814880e-04,1.210400e-04,3.338720e-04,8.873600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-10,4.649682e+00,6.158080e-04,1.313280e-04,3.492320e-04,9.680000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.236270e+00,6.759040e-04,1.401760e-04,3.875680e-04,1.063680e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.035562e+00,7.095200e-04,1.508320e-04,4.015520e-04,1.142720e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-13,3.652556e+00,7.839200e-04,1.736160e-04,4.403200e-04,1.250560e-04,1.641600e-05,
-1.000000,1024,OS2-f8-accu-14,3.503465e+00,8.172800e-04,1.839360e-04,4.537600e-04,1.317120e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-15,3.271190e+00,8.753120e-04,1.932320e-04,4.924480e-04,1.410240e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-16,3.156597e+00,9.070880e-04,2.018720e-04,5.057120e-04,1.485600e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-17,2.963600e+00,9.661600e-04,2.097760e-04,5.439200e-04,1.600000e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-18,2.862533e+00,1.000272e-03,2.197440e-04,5.575200e-04,1.667680e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-19,2.724887e+00,1.050800e-03,2.270720e-04,5.859040e-04,1.803360e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-20,2.569301e+00,1.114432e-03,2.373440e-04,6.258560e-04,1.920000e-04,2.457600e-05,
-1.000000,1024,OS1-6,1.345946e+01,2.127360e-04,,,,,
-1.000000,1024,OS1-7,1.227835e+01,2.332000e-04,,,,,
-1.000000,1024,OS1-8,1.115622e+01,2.566560e-04,,,,,
-1.000000,1024,OS1-9,1.016743e+01,2.816160e-04,,,,,
-1.000000,1024,ZTRTRMM (GEMM),1.110224e+01,2.579040e-04,,,,,
-1.000000,2048,OS2-i8-fast-9,3.528244e+01,6.492320e-04,1.741920e-04,3.140480e-04,1.016160e-04,3.689600e-05,
-1.000000,2048,OS2-i8-fast-10,3.197516e+01,7.163840e-04,1.850560e-04,3.528640e-04,1.146720e-04,4.099200e-05,
-1.000000,2048,OS2-i8-fast-11,3.004083e+01,7.625120e-04,1.963040e-04,3.713920e-04,1.253600e-04,4.505600e-05,
-1.000000,2048,OS2-i8-fast-12,2.765683e+01,8.282400e-04,2.080480e-04,4.120160e-04,1.373440e-04,4.505600e-05,
-1.000000,2048,OS2-i8-fast-13,2.605426e+01,8.791840e-04,2.215200e-04,4.323200e-04,1.510400e-04,4.710400e-05,
-1.000000,2048,OS2-i8-fast-14,2.474986e+01,9.255200e-04,2.345440e-04,4.504320e-04,1.630560e-04,4.918400e-05,
-1.000000,2048,OS2-i8-fast-15,2.312516e+01,9.905440e-04,2.483200e-04,4.902880e-04,1.720320e-04,5.120000e-05,
-1.000000,2048,OS2-i8-fast-16,2.084865e+01,1.098704e-03,3.228160e-04,5.054400e-04,1.853120e-04,5.326400e-05,
-1.000000,2048,OS2-i8-fast-17,1.993172e+01,1.149248e-03,3.396000e-04,5.222400e-04,1.983680e-04,5.734400e-05,
-1.000000,2048,OS2-i8-fast-18,1.876056e+01,1.220992e-03,3.581440e-04,5.629280e-04,2.110080e-04,5.734400e-05,
-1.000000,2048,OS2-i8-fast-19,1.799376e+01,1.273024e-03,3.739200e-04,5.817760e-04,2.233760e-04,6.144000e-05,
-1.000000,2048,OS2-i8-fast-20,1.749335e+01,1.309440e-03,3.825120e-04,5.960160e-04,2.341440e-04,6.348800e-05,
-1.000000,2048,OS2-i8-accu-9,3.208839e+01,7.138560e-04,2.364160e-04,3.151840e-04,1.016160e-04,3.689600e-05,
-1.000000,2048,OS2-i8-accu-10,2.941557e+01,7.787200e-04,2.448000e-04,3.553600e-04,1.135360e-04,4.099200e-05,
-1.000000,2048,OS2-i8-accu-11,2.792494e+01,8.202880e-04,2.540640e-04,3.719040e-04,1.252800e-04,4.505600e-05,
-1.000000,2048,OS2-i8-accu-12,2.591561e+01,8.838880e-04,2.619360e-04,4.127520e-04,1.373760e-04,4.505600e-05,
-1.000000,2048,OS2-i8-accu-13,2.463530e+01,9.298240e-04,2.728160e-04,4.320960e-04,1.505920e-04,4.710400e-05,
-1.000000,2048,OS2-i8-accu-14,2.348979e+01,9.751680e-04,2.858560e-04,4.494880e-04,1.616640e-04,4.918400e-05,
-1.000000,2048,OS2-i8-accu-15,2.208050e+01,1.037408e-03,2.951840e-04,4.890080e-04,1.717760e-04,5.120000e-05,
-1.000000,2048,OS2-i8-accu-16,2.048207e+01,1.118368e-03,3.441120e-04,5.063680e-04,1.847840e-04,5.324800e-05,
-1.000000,2048,OS2-i8-accu-17,1.970322e+01,1.162576e-03,3.565760e-04,5.206560e-04,1.970720e-04,5.737600e-05,
-1.000000,2048,OS2-i8-accu-18,1.857966e+01,1.232880e-03,3.709280e-04,5.610080e-04,2.104960e-04,5.734400e-05,
-1.000000,2048,OS2-i8-accu-19,1.789212e+01,1.280256e-03,3.831200e-04,5.793120e-04,2.236000e-04,6.144000e-05,
-1.000000,2048,OS2-i8-accu-20,1.736603e+01,1.319040e-03,3.946560e-04,5.945280e-04,2.333920e-04,6.348800e-05,
-1.000000,2048,OS2-f8-fast-9,1.530528e+01,1.496640e-03,3.053280e-04,8.516960e-04,2.797440e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-10,1.416303e+01,1.617344e-03,3.418080e-04,9.035840e-04,3.089760e-04,3.891200e-05,
-1.000000,2048,OS2-f8-fast-11,1.283708e+01,1.784400e-03,3.763360e-04,9.988800e-04,3.396800e-04,4.297600e-05,
-1.000000,2048,OS2-f8-fast-12,1.187702e+01,1.928640e-03,4.355040e-04,1.050576e-03,3.706720e-04,4.505600e-05,
-1.000000,2048,OS2-f8-fast-13,8.987054e+00,2.548832e-03,9.281280e-04,1.146288e-03,3.994240e-04,4.710400e-05,
-1.000000,2048,OS2-f8-fast-14,8.423387e+00,2.719392e-03,1.014336e-03,1.196448e-03,4.292160e-04,4.915200e-05,
-1.000000,2048,OS2-f8-fast-15,7.806406e+00,2.934320e-03,1.098608e-03,1.293216e-03,4.609120e-04,5.120000e-05,
-1.000000,2048,OS2-f8-fast-16,7.363651e+00,3.110752e-03,1.189136e-03,1.342768e-03,4.925760e-04,5.524800e-05,
-1.000000,2048,OS2-f8-fast-17,6.889287e+00,3.324944e-03,1.277856e-03,1.434432e-03,5.218880e-04,5.734400e-05,
-1.000000,2048,OS2-f8-fast-18,6.579875e+00,3.481296e-03,1.352032e-03,1.483040e-03,5.515680e-04,5.939200e-05,
-1.000000,2048,OS2-f8-fast-19,6.204413e+00,3.691968e-03,1.431824e-03,1.579872e-03,5.823680e-04,6.144000e-05,
-1.000000,2048,OS2-f8-fast-20,5.890157e+00,3.888944e-03,1.516832e-03,1.661712e-03,6.103200e-04,6.553600e-05,
-1.000000,2048,OS2-f8-accu-9,1.506198e+01,1.520816e-03,3.325920e-04,8.499200e-04,2.779200e-04,3.686400e-05,
-1.000000,2048,OS2-f8-accu-10,1.400961e+01,1.635056e-03,3.597120e-04,9.029920e-04,3.081920e-04,3.891200e-05,
-1.000000,2048,OS2-f8-accu-11,1.275792e+01,1.795472e-03,3.868800e-04,9.982240e-04,3.422880e-04,4.297600e-05,
-1.000000,2048,OS2-f8-accu-12,1.200449e+01,1.908160e-03,4.141280e-04,1.050224e-03,3.703840e-04,4.505600e-05,
-1.000000,2048,OS2-f8-accu-13,1.079005e+01,2.122928e-03,5.028800e-04,1.145104e-03,3.988160e-04,4.710400e-05,
-1.000000,2048,OS2-f8-accu-14,1.023371e+01,2.238336e-03,5.346880e-04,1.195312e-03,4.276800e-04,4.915200e-05,
-1.000000,2048,OS2-f8-accu-15,9.527540e+00,2.404240e-03,5.687040e-04,1.291840e-03,4.626080e-04,5.120000e-05,
-1.000000,2048,OS2-f8-accu-16,9.090975e+00,2.519696e-03,6.014560e-04,1.340784e-03,4.915360e-04,5.328000e-05,
-1.000000,2048,OS2-f8-accu-17,8.556189e+00,2.677184e-03,6.299200e-04,1.433824e-03,5.219520e-04,5.734400e-05,
-1.000000,2048,OS2-f8-accu-18,8.205977e+00,2.791440e-03,6.603200e-04,1.484656e-03,5.536160e-04,5.939200e-05,
-1.000000,2048,OS2-f8-accu-19,7.734791e+00,2.961488e-03,7.008000e-04,1.580128e-03,5.827520e-04,6.144000e-05,
-1.000000,2048,OS2-f8-accu-20,7.287857e+00,3.143104e-03,7.632160e-04,1.664288e-03,6.136800e-04,6.553600e-05,
-1.000000,2048,OS1-6,2.778242e+01,8.244960e-04,,,,,
-1.000000,2048,OS1-7,2.336558e+01,9.803520e-04,,,,,
-1.000000,2048,OS1-8,1.995701e+01,1.147792e-03,,,,,
-1.000000,2048,OS1-9,1.709011e+01,1.340336e-03,,,,,
-1.000000,2048,ZTRTRMM (GEMM),1.262216e+01,1.814784e-03,,,,,
-1.000000,4096,OS2-i8-fast-9,7.245450e+01,2.529200e-03,4.875360e-04,1.544592e-03,3.473920e-04,1.249120e-04,
-1.000000,4096,OS2-i8-fast-10,6.763023e+01,2.709616e-03,5.264000e-04,1.640208e-03,3.824480e-04,1.331200e-04,
-1.000000,4096,OS2-i8-fast-11,6.131157e+01,2.988864e-03,5.703200e-04,1.822048e-03,4.213120e-04,1.474560e-04,
-1.000000,4096,OS2-i8-fast-12,5.779768e+01,3.170576e-03,6.132320e-04,1.919680e-03,4.566400e-04,1.536000e-04,
-1.000000,4096,OS2-i8-fast-13,5.322536e+01,3.442944e-03,6.550560e-04,2.101056e-03,4.952960e-04,1.617920e-04,
-1.000000,4096,OS2-i8-fast-14,5.057715e+01,3.623216e-03,6.972160e-04,2.197152e-03,5.300160e-04,1.679360e-04,
-1.000000,4096,OS2-i8-fast-15,4.857640e+01,3.772448e-03,7.411360e-04,2.259616e-03,5.632320e-04,1.761280e-04,
-1.000000,4096,OS2-i8-fast-16,4.325113e+01,4.236928e-03,9.757760e-04,2.439536e-03,6.030560e-04,1.863680e-04,
-1.000000,4096,OS2-i8-fast-17,4.125214e+01,4.442240e-03,1.034032e-03,2.539152e-03,6.379200e-04,1.966080e-04,
-1.000000,4096,OS2-i8-fast-18,3.987677e+01,4.595456e-03,1.089504e-03,2.597440e-03,6.706560e-04,2.027520e-04,
-1.000000,4096,OS2-i8-fast-19,3.752714e+01,4.883184e-03,1.150736e-03,2.773856e-03,7.105600e-04,2.109760e-04,
-1.000000,4096,OS2-i8-fast-20,3.644838e+01,5.027712e-03,1.156096e-03,2.869936e-03,7.454400e-04,2.191360e-04,
-1.000000,4096,OS2-i8-accu-9,6.487731e+01,2.824592e-03,7.849280e-04,1.543376e-03,3.473280e-04,1.248960e-04,
-1.000000,4096,OS2-i8-accu-10,6.105858e+01,3.001248e-03,8.191040e-04,1.639504e-03,3.820800e-04,1.331200e-04,
-1.000000,4096,OS2-i8-accu-11,5.600993e+01,3.271776e-03,8.529920e-04,1.821008e-03,4.216000e-04,1.474560e-04,
-1.000000,4096,OS2-i8-accu-12,5.319817e+01,3.444704e-03,8.892320e-04,1.917424e-03,4.564160e-04,1.536000e-04,
-1.000000,4096,OS2-i8-accu-13,4.937680e+01,3.711296e-03,9.249920e-04,2.099728e-03,4.950720e-04,1.617920e-04,
-1.000000,4096,OS2-i8-accu-14,4.716259e+01,3.885536e-03,9.614880e-04,2.194976e-03,5.298880e-04,1.679360e-04,
-1.000000,4096,OS2-i8-accu-15,4.548079e+01,4.029216e-03,1.000544e-03,2.256784e-03,5.632320e-04,1.761280e-04,
-1.000000,4096,OS2-i8-accu-16,4.155433e+01,4.409936e-03,1.151808e-03,2.435600e-03,6.030240e-04,1.863680e-04,
-1.000000,4096,OS2-i8-accu-17,3.982270e+01,4.601696e-03,1.202336e-03,2.531632e-03,6.379200e-04,1.966080e-04,
-1.000000,4096,OS2-i8-accu-18,3.863701e+01,4.742912e-03,1.247056e-03,2.588416e-03,6.707520e-04,2.027520e-04,
-1.000000,4096,OS2-i8-accu-19,3.649472e+01,5.021328e-03,1.294336e-03,2.769488e-03,7.104960e-04,2.120000e-04,
-1.000000,4096,OS2-i8-accu-20,3.520155e+01,5.205792e-03,1.337664e-03,2.865872e-03,7.444800e-04,2.191360e-04,
-1.000000,4096,OS2-f8-fast-9,3.365246e+01,5.445424e-03,9.493120e-04,3.403488e-03,9.434880e-04,1.248960e-04,
-1.000000,4096,OS2-f8-fast-10,3.044659e+01,6.018800e-03,1.074512e-03,3.733856e-03,1.048608e-03,1.330880e-04,
-1.000000,4096,OS2-f8-fast-11,2.805855e+01,6.531056e-03,1.197552e-03,4.011808e-03,1.139568e-03,1.515200e-04,
-1.000000,4096,OS2-f8-fast-12,2.534313e+01,7.230832e-03,1.405168e-03,4.390496e-03,1.245088e-03,1.576640e-04,
-1.000000,4096,OS2-f8-fast-13,2.047973e+01,8.947968e-03,2.674192e-03,4.738784e-03,1.335328e-03,1.658560e-04,
-1.000000,4096,OS2-f8-fast-14,1.887278e+01,9.709856e-03,2.939168e-03,5.120752e-03,1.442080e-03,1.740480e-04,
-1.000000,4096,OS2-f8-fast-15,1.768669e+01,1.036101e-02,3.208848e-03,5.401984e-03,1.532608e-03,1.822400e-04,
-1.000000,4096,OS2-f8-fast-16,1.646182e+01,1.113194e-02,3.482720e-03,5.780512e-03,1.637776e-03,1.924800e-04,
-1.000000,4096,OS2-f8-fast-17,1.554874e+01,1.178565e-02,3.771344e-03,6.042512e-03,1.728656e-03,2.027200e-04,
-1.000000,4096,OS2-f8-fast-18,1.460275e+01,1.254914e-02,4.042688e-03,6.421888e-03,1.834960e-03,2.109120e-04,
-1.000000,4096,OS2-f8-fast-19,1.389858e+01,1.318494e-02,4.305968e-03,6.692384e-03,1.925584e-03,2.211520e-04,
-1.000000,4096,OS2-f8-fast-20,1.312636e+01,1.396061e-02,4.580768e-03,7.081344e-03,2.029152e-03,2.293440e-04,
-1.000000,4096,OS2-f8-accu-9,3.251694e+01,5.635584e-03,1.152656e-03,3.385680e-03,9.449280e-04,1.248960e-04,
-1.000000,4096,OS2-f8-accu-10,2.956012e+01,6.199296e-03,1.255168e-03,3.733248e-03,1.049088e-03,1.330880e-04,
-1.000000,4096,OS2-f8-accu-11,2.740424e+01,6.686992e-03,1.355184e-03,4.009152e-03,1.140032e-03,1.515200e-04,
-1.000000,4096,OS2-f8-accu-12,2.515284e+01,7.285536e-03,1.462496e-03,4.388560e-03,1.244528e-03,1.576960e-04,
-1.000000,4096,OS2-f8-accu-13,2.292763e+01,7.992624e-03,1.791984e-03,4.663680e-03,1.337456e-03,1.658560e-04,
-1.000000,4096,OS2-f8-accu-14,2.129715e+01,8.604528e-03,1.922064e-03,5.033648e-03,1.443184e-03,1.740160e-04,
-1.000000,4096,OS2-f8-accu-15,2.013106e+01,9.102944e-03,2.042928e-03,5.309680e-03,1.533040e-03,1.822400e-04,
-1.000000,4096,OS2-f8-accu-16,1.883485e+01,9.729408e-03,2.171984e-03,5.687392e-03,1.639680e-03,1.924800e-04,
-1.000000,4096,OS2-f8-accu-17,1.791201e+01,1.023067e-02,2.305584e-03,5.954752e-03,1.729008e-03,2.027200e-04,
-1.000000,4096,OS2-f8-accu-18,1.686424e+01,1.086630e-02,2.448432e-03,6.331744e-03,1.835296e-03,2.109120e-04,
-1.000000,4096,OS2-f8-accu-19,1.610126e+01,1.138122e-02,2.596128e-03,6.599152e-03,1.925504e-03,2.211520e-04,
-1.000000,4096,OS2-f8-accu-20,1.504308e+01,1.218181e-02,2.902096e-03,6.979392e-03,2.029328e-03,2.293440e-04,
-1.000000,4096,OS1-6,4.431290e+01,4.135408e-03,,,,,
-1.000000,4096,OS1-7,3.515369e+01,5.212880e-03,,,,,
-1.000000,4096,OS1-8,2.858666e+01,6.410400e-03,,,,,
-1.000000,4096,OS1-9,2.337903e+01,7.838304e-03,,,,,
-1.000000,4096,ZTRTRMM (GEMM),1.311998e+01,1.396739e-02,,,,,
-1.000000,8192,OS2-i8-fast-9,1.640241e+02,8.937808e-03,1.620656e-03,5.602880e-03,1.208784e-03,4.771520e-04,
-1.000000,8192,OS2-i8-fast-10,1.504559e+02,9.743824e-03,1.775904e-03,6.091952e-03,1.330080e-03,5.201280e-04,
-1.000000,8192,OS2-i8-fast-11,1.367384e+02,1.072131e-02,1.930992e-03,6.714112e-03,1.470672e-03,5.785600e-04,
-1.000000,8192,OS2-i8-fast-12,1.273671e+02,1.151016e-02,2.108944e-03,7.182048e-03,1.594352e-03,5.918720e-04,
-1.000000,8192,OS2-i8-fast-13,1.174021e+02,1.248714e-02,2.266720e-03,7.833216e-03,1.726480e-03,6.307520e-04,
-1.000000,8192,OS2-i8-fast-14,1.103471e+02,1.328549e-02,2.432128e-03,8.304624e-03,1.852368e-03,6.574080e-04,
-1.000000,8192,OS2-i8-fast-15,1.040828e+02,1.408509e-02,2.616656e-03,8.761088e-03,1.984448e-03,6.942240e-04,
-1.000000,8192,OS2-i8-fast-16,9.378231e+01,1.563211e-02,3.405840e-03,9.346832e-03,2.115440e-03,7.249600e-04,
-1.000000,8192,OS2-i8-fast-17,8.931207e+01,1.641453e-02,3.631312e-03,9.732832e-03,2.237952e-03,7.700160e-04,
-1.000000,8192,OS2-i8-fast-18,8.489333e+01,1.726891e-02,3.857088e-03,1.021637e-02,2.367280e-03,7.910240e-04,
-1.000000,8192,OS2-i8-fast-19,8.031082e+01,1.825427e-02,4.073648e-03,1.083035e-02,2.502720e-03,8.273600e-04,
-1.000000,8192,OS2-i8-fast-20,7.751079e+01,1.891370e-02,4.104304e-03,1.128384e-02,2.632704e-03,8.555200e-04,
-1.000000,8192,OS2-i8-accu-9,1.449980e+02,1.011059e-02,2.800672e-03,5.595776e-03,1.209360e-03,4.771520e-04,
-1.000000,8192,OS2-i8-accu-10,1.351647e+02,1.084614e-02,2.941360e-03,6.028160e-03,1.330688e-03,5.171200e-04,
-1.000000,8192,OS2-i8-accu-11,1.238582e+02,1.183624e-02,3.077776e-03,6.681024e-03,1.471520e-03,5.775040e-04,
-1.000000,8192,OS2-i8-accu-12,1.162436e+02,1.261158e-02,3.220464e-03,7.167664e-03,1.593376e-03,5.918080e-04,
-1.000000,8192,OS2-i8-accu-13,1.085539e+02,1.350496e-02,3.359088e-03,7.760896e-03,1.725392e-03,6.287040e-04,
-1.000000,8192,OS2-i8-accu-14,1.022423e+02,1.433864e-02,3.528032e-03,8.267536e-03,1.852736e-03,6.553600e-04,
-1.000000,8192,OS2-i8-accu-15,9.686470e+01,1.513467e-02,3.696816e-03,8.725280e-03,1.983488e-03,6.932160e-04,
-1.000000,8192,OS2-i8-accu-16,8.901610e+01,1.646910e-02,4.256688e-03,9.333040e-03,2.116368e-03,7.249600e-04,
-1.000000,8192,OS2-i8-accu-17,8.504746e+01,1.723762e-02,4.457664e-03,9.722480e-03,2.237472e-03,7.690240e-04,
-1.000000,8192,OS2-i8-accu-18,8.133765e+01,1.802382e-02,4.637248e-03,1.019210e-02,2.367072e-03,7.905280e-04,
-1.000000,8192,OS2-i8-accu-19,7.706312e+01,1.902357e-02,4.815248e-03,1.083184e-02,2.502576e-03,8.283840e-04,
-1.000000,8192,OS2-i8-accu-20,7.345904e+01,1.995691e-02,5.031248e-03,1.138595e-02,2.632976e-03,8.642560e-04,
-1.000000,8192,OS2-f8-fast-9,6.109343e+01,2.399629e-02,3.939120e-03,1.621739e-02,3.342144e-03,4.986560e-04,
-1.000000,8192,OS2-f8-fast-10,5.500283e+01,2.665346e-02,4.611600e-03,1.786000e-02,3.710912e-03,5.283520e-04,
