phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.787770e+00,3.779680e-04,8.464000e-05,2.082240e-04,5.164800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.414037e+00,4.193440e-04,8.780800e-05,2.375680e-04,5.844800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.332904e+00,4.295520e-04,9.032000e-05,2.402400e-04,6.161600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.044004e+00,4.703200e-04,9.387200e-05,2.688960e-04,6.868800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,2.990791e+00,4.786880e-04,9.694400e-05,2.712160e-04,7.160000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,2.935742e+00,4.876640e-04,1.004640e-04,2.712160e-04,7.524800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-15,2.701971e+00,5.298560e-04,1.025280e-04,3.029760e-04,8.140800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-16,2.555360e+00,5.602560e-04,1.280320e-04,3.036480e-04,8.436800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.501915e+00,5.722240e-04,1.346400e-04,3.037920e-04,8.872000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.326352e+00,6.154080e-04,1.415520e-04,3.332800e-04,9.454400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.274780e+00,6.293600e-04,1.476480e-04,3.361760e-04,9.814400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.234058e+00,6.408320e-04,1.546720e-04,3.369760e-04,1.000480e-04,1.638400e-05,
-1.000000,1024,OS2-i8-accu-9,3.437382e+00,4.164960e-04,1.235840e-04,2.081600e-04,5.136000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.118478e+00,4.590880e-04,1.267680e-04,2.379840e-04,5.827200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.051894e+00,4.691040e-04,1.303040e-04,2.400000e-04,6.153600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.796814e+00,5.118880e-04,1.352320e-04,2.694080e-04,6.859200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.760659e+00,5.185920e-04,1.365600e-04,2.710880e-04,7.166400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-14,2.695054e+00,5.312160e-04,1.428320e-04,2.716640e-04,7.524800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-15,2.502685e+00,5.720480e-04,1.460480e-04,3.022240e-04,8.032000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-16,2.371548e+00,6.036800e-04,1.708960e-04,3.035680e-04,8.457600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.317435e+00,6.177760e-04,1.783040e-04,3.047200e-04,8.854400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.169333e+00,6.599520e-04,1.848320e-04,3.336960e-04,9.528000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.124370e+00,6.739200e-04,1.923200e-04,3.357120e-04,9.763200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-20,2.078430e+00,6.888160e-04,2.003840e-04,3.374560e-04,1.004160e-04,1.641600e-05,
-1.000000,1024,OS2-f8-fast-9,2.611596e+00,5.481920e-04,1.045760e-04,3.334880e-04,7.707200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.461107e+00,5.817120e-04,1.131520e-04,3.490240e-04,8.444800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-11,2.236235e+00,6.402080e-04,1.232480e-04,3.863680e-04,9.275200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-12,2.132929e+00,6.712160e-04,1.323200e-04,4.006240e-04,1.004960e-04,1.228800e-05,
-1.000000,1024,OS2-f8-fast-13,1.926547e+00,7.431200e-04,1.554400e-04,4.383840e-04,1.090560e-04,1.228800e-05,
-1.000000,1024,OS2-f8-fast-14,1.846821e+00,7.752000e-04,1.659200e-04,4.522560e-04,1.153760e-04,1.235200e-05,
-1.000000,1024,OS2-f8-fast-15,1.719153e+00,8.327680e-04,1.740160e-04,4.900960e-04,1.243040e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-16,1.659745e+00,8.625760e-04,1.830240e-04,5.035520e-04,1.305600e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-17,1.553419e+00,9.216160e-04,1.927520e-04,5.420320e-04,1.395520e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-18,1.501997e+00,9.531680e-04,2.013120e-04,5.578400e-04,1.457600e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-19,1.435353e+00,9.974240e-04,2.091840e-04,5.856160e-04,1.522560e-04,1.641600e-05,
-1.000000,1024,OS2-f8-fast-20,1.350680e+00,1.059952e-03,2.187040e-04,6.271360e-04,1.619840e-04,1.641600e-05,
