phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,8.001295e+00,3.578560e-04,5.753600e-05,2.073920e-04,5.486400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.162003e+00,3.997920e-04,6.091200e-05,2.388480e-04,6.222400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-11,6.987231e+00,4.097920e-04,6.539200e-05,2.402560e-04,6.564800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-12,6.307743e+00,4.539360e-04,6.896000e-05,2.690080e-04,7.372800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.180094e+00,4.633120e-04,7.254400e-05,2.726880e-04,7.508800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.053001e+00,4.730400e-04,7.729600e-05,2.745280e-04,7.827200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.519956e+00,5.187200e-04,8.289600e-05,3.040160e-04,8.580800e-05,1.844800e-05,
-1.000000,1024,OS2-i8-fast-16,5.157113e+00,5.552160e-04,1.149120e-04,3.052800e-04,8.800000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.052712e+00,5.666880e-04,1.215200e-04,3.059680e-04,9.140800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.659003e+00,6.145760e-04,1.298240e-04,3.366080e-04,9.819200e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.558368e+00,6.281440e-04,1.359360e-04,3.372960e-04,1.024800e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.494938e+00,6.370080e-04,1.429120e-04,3.372640e-04,1.038080e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.971716e+00,4.107040e-04,1.115680e-04,2.078240e-04,5.512000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.250243e+00,4.581120e-04,1.175200e-04,2.411680e-04,6.172800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.134546e+00,4.667520e-04,1.218400e-04,2.404640e-04,6.561600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-12,5.632715e+00,5.083360e-04,1.238720e-04,2.704800e-04,7.209600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.525069e+00,5.182400e-04,1.263840e-04,2.738720e-04,7.473600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.419325e+00,5.283520e-04,1.311520e-04,2.757920e-04,7.846400e-05,1.638400e-05,
