phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.716656e+00,3.710560e-04,6.817600e-05,2.098720e-04,5.537600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.927188e+00,4.133440e-04,7.224000e-05,2.413120e-04,6.196800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.750546e+00,4.241600e-04,7.595200e-05,2.420800e-04,6.561600e-05,1.436800e-05,
-1.000000,1024,OS2-i8-fast-12,6.144234e+00,4.660160e-04,7.920000e-05,2.716960e-04,7.302400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.060380e+00,4.724640e-04,8.371200e-05,2.720960e-04,7.430400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,5.917694e+00,4.838560e-04,8.862400e-05,2.729280e-04,7.827200e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.410805e+00,5.291840e-04,9.312000e-05,3.046080e-04,8.409600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.091961e+00,5.623200e-04,1.245440e-04,3.031360e-04,8.569600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.948347e+00,5.786400e-04,1.320800e-04,3.065600e-04,9.080000e-05,1.840000e-05,
-1.000000,1024,OS2-i8-fast-18,4.594413e+00,6.232160e-04,1.381280e-04,3.357600e-04,9.708800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.502742e+00,6.359040e-04,1.445920e-04,3.378720e-04,1.008640e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.396869e+00,6.512160e-04,1.524640e-04,3.425440e-04,1.021440e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.875556e+00,4.164480e-04,1.143680e-04,2.093120e-04,5.449600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.275229e+00,4.562880e-04,1.165920e-04,2.379840e-04,6.288000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.104829e+00,4.690240e-04,1.201600e-04,2.418400e-04,6.547200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-12,5.599580e+00,5.113440e-04,1.230080e-04,2.720640e-04,7.316800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.535665e+00,5.172480e-04,1.262560e-04,2.729440e-04,7.448000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.421952e+00,5.280960e-04,1.319520e-04,2.730240e-04,7.824000e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.016032e+00,5.708320e-04,1.342560e-04,3.041600e-04,8.488000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.839683e+00,5.916320e-04,1.504960e-04,3.055840e-04,8.696000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.741210e+00,6.039200e-04,1.557920e-04,3.068160e-04,9.124800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-18,4.444148e+00,6.442880e-04,1.605440e-04,3.343520e-04,9.681600e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.346781e+00,6.587200e-04,1.658720e-04,3.391840e-04,9.968000e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.272171e+00,6.702240e-04,1.715200e-04,3.407680e-04,1.036480e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.039480e+00,5.681760e-04,1.075200e-04,3.335680e-04,9.072000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.734061e+00,6.048320e-04,1.198880e-04,3.488160e-04,9.739200e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-11,4.276459e+00,6.695520e-04,1.320480e-04,3.857920e-04,1.092800e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,4.061758e+00,7.049440e-04,1.446080e-04,4.004160e-04,1.164000e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-13,2.968614e+00,9.645280e-04,3.529280e-04,4.366400e-04,1.308000e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-14,2.811269e+00,1.018512e-03,3.836000e-04,4.497120e-04,1.340320e-04,1.843200e-05,
