phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.699392e+00,3.718880e-04,6.995200e-05,2.102560e-04,5.483200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.945739e+00,4.122400e-04,7.324800e-05,2.394560e-04,6.161600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.752838e+00,4.240160e-04,7.696000e-05,2.423040e-04,6.550400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-12,6.129713e+00,4.671200e-04,8.161600e-05,2.710400e-04,7.212800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.017383e+00,4.758400e-04,8.574400e-05,2.730240e-04,7.412800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,5.884807e+00,4.865600e-04,9.025600e-05,2.742080e-04,7.817600e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.380708e+00,5.321440e-04,9.625600e-05,3.052800e-04,8.398400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.091816e+00,5.623360e-04,1.234720e-04,3.046880e-04,8.572800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.946159e+00,5.788960e-04,1.323360e-04,3.073920e-04,9.048000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.592408e+00,6.234880e-04,1.397760e-04,3.359840e-04,9.750400e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.487049e+00,6.381280e-04,1.477600e-04,3.370880e-04,1.006560e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.384373e+00,6.530720e-04,1.566240e-04,3.411360e-04,1.024480e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.907669e+00,4.145120e-04,1.146240e-04,2.079680e-04,5.508800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.261616e+00,4.572800e-04,1.169280e-04,2.404640e-04,6.174400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,6.099420e+00,4.694400e-04,1.220960e-04,2.424320e-04,6.532800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-12,5.615570e+00,5.098880e-04,1.239680e-04,2.709760e-04,7.276800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.530874e+00,5.176960e-04,1.268960e-04,2.734560e-04,7.435200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.436117e+00,5.267200e-04,1.317760e-04,2.735200e-04,7.790400e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.008732e+00,5.716640e-04,1.346720e-04,3.048480e-04,8.483200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.869577e+00,5.880000e-04,1.511360e-04,3.021120e-04,8.617600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.737319e+00,6.044160e-04,1.560800e-04,3.074400e-04,9.163200e-05,1.840000e-05,
-1.000000,1024,OS2-i8-accu-18,4.431273e+00,6.461600e-04,1.611840e-04,3.361120e-04,9.694400e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.348260e+00,6.584960e-04,1.664640e-04,3.400000e-04,9.945600e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.286497e+00,6.679840e-04,1.712000e-04,3.398400e-04,1.031520e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.015188e+00,5.709280e-04,1.095360e-04,3.335840e-04,9.000000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.698143e+00,6.094560e-04,1.252000e-04,3.485760e-04,9.777600e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-11,4.250961e+00,6.735680e-04,1.374400e-04,3.860320e-04,1.089120e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,3.989055e+00,7.177920e-04,1.593600e-04,4.007360e-04,1.151200e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-13,2.914039e+00,9.825920e-04,3.739680e-04,4.372000e-04,1.268000e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-14,2.754413e+00,1.039536e-03,4.058560e-04,4.504640e-04,1.345120e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-15,2.552299e+00,1.121856e-03,4.391040e-04,4.885600e-04,1.444320e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,2.426535e+00,1.180000e-03,4.709440e-04,5.051680e-04,1.514400e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-17,2.265995e+00,1.263600e-03,5.035360e-04,5.428320e-04,1.638400e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-18,2.175478e+00,1.316176e-03,5.357760e-04,5.559680e-04,1.685600e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-19,2.062429e+00,1.388320e-03,5.647200e-04,5.849600e-04,1.826880e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-20,1.949083e+00,1.469056e-03,5.948800e-04,6.235840e-04,1.913120e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-9,4.903602e+00,5.839200e-04,1.224640e-04,3.349120e-04,8.932800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-10,4.651858e+00,6.155200e-04,1.317600e-04,3.490080e-04,9.707200e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-11,4.219290e+00,6.786240e-04,1.409280e-04,3.872160e-04,1.091040e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.036017e+00,7.094400e-04,1.503360e-04,4.009920e-04,1.153280e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-13,3.649799e+00,7.845120e-04,1.729280e-04,4.391520e-04,1.269920e-04,1.635200e-05,
-1.000000,1024,OS2-f8-accu-14,3.497234e+00,8.187360e-04,1.834560e-04,4.526720e-04,1.344320e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-15,3.267069e+00,8.764160e-04,1.927520e-04,4.917600e-04,1.438080e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-16,3.152149e+00,9.083680e-04,2.007840e-04,5.051200e-04,1.511360e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-17,2.961834e+00,9.667360e-04,2.088320e-04,5.433760e-04,1.611680e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-18,2.869004e+00,9.980160e-04,2.179520e-04,5.567680e-04,1.683200e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-19,2.713978e+00,1.055024e-03,2.263040e-04,5.871520e-04,1.844960e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-20,2.570150e+00,1.114064e-03,2.359360e-04,6.265600e-04,1.945600e-04,2.252800e-05,
-1.000000,1024,OS1-6,1.348177e+01,2.123840e-04,,,,,
-1.000000,1024,OS1-7,1.228509e+01,2.330720e-04,,,,,
-1.000000,1024,OS1-8,1.111741e+01,2.575520e-04,,,,,
