phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.902365e+00,3.623360e-04,5.953600e-05,2.108640e-04,5.563200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.122382e+00,4.020160e-04,6.310400e-05,2.389120e-04,6.302400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-11,6.909002e+00,4.144320e-04,6.652800e-05,2.413280e-04,6.590400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-12,6.248498e+00,4.582400e-04,7.124800e-05,2.727040e-04,7.353600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.152896e+00,4.653600e-04,7.561600e-05,2.724160e-04,7.475200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.021432e+00,4.755200e-04,7.977600e-05,2.741920e-04,7.883200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.496897e+00,5.208960e-04,8.420800e-05,3.051520e-04,8.587200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.149989e+00,5.559840e-04,1.142720e-04,3.084960e-04,8.667200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.047155e+00,5.673120e-04,1.216160e-04,3.070880e-04,9.094400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.649199e+00,6.158720e-04,1.300000e-04,3.366880e-04,9.820800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.538254e+00,6.309280e-04,1.371520e-04,3.395200e-04,1.022400e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.461210e+00,6.418240e-04,1.461120e-04,3.392800e-04,1.030880e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.903671e+00,4.147520e-04,1.127040e-04,2.107840e-04,5.452800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.280073e+00,4.559360e-04,1.171680e-04,2.381440e-04,6.268800e-05,1.433600e-05,
