phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.784886e+00,3.782560e-04,8.444800e-05,2.080800e-04,5.246400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.406498e+00,4.202720e-04,8.752000e-05,2.383520e-04,5.916800e-05,1.027200e-05,
-1.000000,1024,OS2-i8-fast-11,3.326091e+00,4.304320e-04,9.036800e-05,2.404160e-04,6.235200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.040693e+00,4.708320e-04,9.384000e-05,2.688320e-04,6.976000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-13,2.981920e+00,4.801120e-04,9.670400e-05,2.717440e-04,7.299200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,2.925568e+00,4.893600e-04,1.000960e-04,2.732480e-04,7.577600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.696922e+00,5.308480e-04,1.028640e-04,3.025120e-04,8.345600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.547358e+00,5.620160e-04,1.285600e-04,3.039680e-04,8.520000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.487448e+00,5.755520e-04,1.349920e-04,3.055680e-04,8.996800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.311628e+00,6.193280e-04,1.412000e-04,3.356800e-04,9.632000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.263731e+00,6.324320e-04,1.484160e-04,3.375840e-04,9.880000e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.228272e+00,6.424960e-04,1.559040e-04,3.377920e-04,1.011040e-04,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.418863e+00,4.187520e-04,1.247840e-04,2.086880e-04,5.252800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.109915e+00,4.603520e-04,1.279520e-04,2.380320e-04,5.953600e-05,1.027200e-05,
-1.000000,1024,OS2-i8-accu-11,3.036154e+00,4.715360e-04,1.315840e-04,2.401920e-04,6.257600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.794631e+00,5.122880e-04,1.346720e-04,2.690720e-04,6.987200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-13,2.734088e+00,5.236320e-04,1.402400e-04,2.717280e-04,7.286400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-14,2.670123e+00,5.361760e-04,1.445760e-04,2.745600e-04,7.577600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.495356e+00,5.737280e-04,1.459680e-04,3.025600e-04,8.348800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-16,2.360972e+00,6.063840e-04,1.722080e-04,3.047520e-04,8.497600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.313780e+00,6.187520e-04,1.786400e-04,3.052800e-04,8.972800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.164034e+00,6.615680e-04,1.855360e-04,3.341440e-04,9.580800e-05,1.433600e-05,
