phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.733998e+00,3.702240e-04,6.881600e-05,2.101440e-04,5.459200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.950595e+00,4.119520e-04,7.275200e-05,2.393120e-04,6.198400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.792567e+00,4.215360e-04,7.614400e-05,2.410560e-04,6.532800e-05,1.435200e-05,
-1.000000,1024,OS2-i8-fast-12,6.173059e+00,4.638400e-04,8.008000e-05,2.707360e-04,7.192000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.085523e+00,4.705120e-04,8.387200e-05,2.714400e-04,7.363200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,5.908706e+00,4.845920e-04,8.918400e-05,2.743680e-04,7.747200e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.427215e+00,5.275840e-04,9.363200e-05,3.043360e-04,8.332800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.061000e+00,5.657600e-04,1.257280e-04,3.063360e-04,8.656000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.960555e+00,5.772160e-04,1.327840e-04,3.062240e-04,9.075200e-05,1.840000e-05,
-1.000000,1024,OS2-i8-fast-18,4.606713e+00,6.215520e-04,1.384960e-04,3.359680e-04,9.745600e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.500477e+00,6.362240e-04,1.458880e-04,3.382880e-04,1.006720e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.415856e+00,6.484160e-04,1.529280e-04,3.393440e-04,1.034240e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.936854e+00,4.127680e-04,1.117760e-04,2.101440e-04,5.400000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.294431e+00,4.548960e-04,1.152320e-04,2.400320e-04,6.195200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,6.177107e+00,4.635360e-04,1.178720e-04,2.409280e-04,6.504000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-12,5.666961e+00,5.052640e-04,1.215680e-04,2.713120e-04,7.020800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.595903e+00,5.116800e-04,1.244960e-04,2.715360e-04,7.382400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.470348e+00,5.234240e-04,1.291840e-04,2.739360e-04,7.681600e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.058997e+00,5.659840e-04,1.316000e-04,3.050400e-04,8.355200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.875946e+00,5.872320e-04,1.474240e-04,3.056640e-04,8.692800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.769261e+00,6.003680e-04,1.529920e-04,3.076000e-04,9.107200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-18,4.457543e+00,6.423520e-04,1.584320e-04,3.361600e-04,9.755200e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.382655e+00,6.533280e-04,1.625280e-04,3.387680e-04,1.005120e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.321171e+00,6.626240e-04,1.690080e-04,3.375360e-04,1.035200e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.039622e+00,5.681600e-04,1.085120e-04,3.328960e-04,8.897600e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-10,4.726434e+00,6.058080e-04,1.215840e-04,3.492960e-04,9.676800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.282394e+00,6.686240e-04,1.333920e-04,3.858240e-04,1.075360e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,4.059638e+00,7.053120e-04,1.459520e-04,4.014560e-04,1.152320e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-13,2.987147e+00,9.585440e-04,3.538880e-04,4.357440e-04,1.238240e-04,1.841600e-05,
-1.000000,1024,OS2-f8-fast-14,2.826276e+00,1.013104e-03,3.844000e-04,4.505120e-04,1.299360e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-15,2.617172e+00,1.094048e-03,4.177920e-04,4.882720e-04,1.406080e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,2.482514e+00,1.153392e-03,4.501760e-04,5.034240e-04,1.483040e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-17,2.322910e+00,1.232640e-03,4.786720e-04,5.430720e-04,1.580960e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-18,2.229799e+00,1.284112e-03,5.087040e-04,5.561440e-04,1.646080e-04,2.252800e-05,
