phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.798543e+00,3.768960e-04,8.452800e-05,2.075360e-04,5.195200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.416513e+00,4.190400e-04,8.731200e-05,2.374720e-04,5.889600e-05,1.227200e-05,
-1.000000,1024,OS2-i8-fast-11,3.328689e+00,4.300960e-04,9.041600e-05,2.403360e-04,6.204800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.040487e+00,4.708640e-04,9.366400e-05,2.691520e-04,6.974400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-13,2.976069e+00,4.810560e-04,9.729600e-05,2.716960e-04,7.318400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,2.923847e+00,4.896480e-04,1.004480e-04,2.728960e-04,7.630400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.691082e+00,5.320000e-04,1.030240e-04,3.038720e-04,8.350400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-16,2.550698e+00,5.612800e-04,1.279680e-04,3.041280e-04,8.491200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.486273e+00,5.758240e-04,1.347840e-04,3.059840e-04,8.977600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.317675e+00,6.177120e-04,1.418880e-04,3.351040e-04,9.542400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.268552e+00,6.310880e-04,1.479840e-04,3.376480e-04,9.908800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.231940e+00,6.414400e-04,1.557280e-04,3.375680e-04,1.010560e-04,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.439496e+00,4.162400e-04,1.244000e-04,2.076320e-04,5.112000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.114245e+00,4.597120e-04,1.277920e-04,2.378560e-04,5.886400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.052311e+00,4.690400e-04,1.299200e-04,2.405760e-04,6.233600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.790273e+00,5.130880e-04,1.357120e-04,2.694560e-04,6.937600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-13,2.736931e+00,5.230880e-04,1.396800e-04,2.714560e-04,7.345600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-14,2.693594e+00,5.315040e-04,1.417760e-04,2.728320e-04,7.686400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.485928e+00,5.759040e-04,1.457920e-04,3.036320e-04,8.435200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-16,2.363030e+00,6.058560e-04,1.713920e-04,3.040160e-04,8.576000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.315935e+00,6.181760e-04,1.778720e-04,3.049760e-04,9.025600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.164139e+00,6.615360e-04,1.854560e-04,3.340480e-04,9.595200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.124976e+00,6.737280e-04,1.917920e-04,3.370400e-04,9.840000e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-20,2.086913e+00,6.860160e-04,1.987200e-04,3.384480e-04,1.010880e-04,1.430400e-05,
-1.000000,1024,OS2-f8-fast-9,2.620391e+00,5.463520e-04,1.042880e-04,3.321120e-04,7.652800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.465651e+00,5.806400e-04,1.131680e-04,3.478880e-04,8.398400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-11,2.249560e+00,6.364160e-04,1.227520e-04,3.846400e-04,9.176000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-12,2.140685e+00,6.687840e-04,1.317600e-04,3.992480e-04,9.950400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-13,1.937812e+00,7.388000e-04,1.541920e-04,4.365760e-04,1.075840e-04,1.225600e-05,
-1.000000,1024,OS2-f8-fast-14,1.858405e+00,7.703680e-04,1.642560e-04,4.496160e-04,1.161920e-04,1.225600e-05,
-1.000000,1024,OS2-f8-fast-15,1.724953e+00,8.299680e-04,1.721920e-04,4.896640e-04,1.247040e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-16,1.662489e+00,8.611520e-04,1.822400e-04,5.045600e-04,1.298560e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-17,1.557610e+00,9.191360e-04,1.904320e-04,5.428800e-04,1.390400e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-18,1.514685e+00,9.451840e-04,1.992960e-04,5.545920e-04,1.440960e-04,1.430400e-05,
-1.000000,1024,OS2-f8-fast-19,1.442876e+00,9.922240e-04,2.072640e-04,5.846080e-04,1.522240e-04,1.430400e-05,
-1.000000,1024,OS2-f8-fast-20,1.359814e+00,1.052832e-03,2.160960e-04,6.242560e-04,1.613440e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-9,2.511747e+00,5.699840e-04,1.254080e-04,3.327200e-04,7.736000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.376523e+00,6.024160e-04,1.337600e-04,3.475680e-04,8.430400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-11,2.175504e+00,6.580800e-04,1.420640e-04,3.858720e-04,9.212800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-12,2.074863e+00,6.900000e-04,1.519200e-04,3.993120e-04,9.934400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-13,1.887334e+00,7.585600e-04,1.733920e-04,4.366400e-04,1.082240e-04,1.225600e-05,
-1.000000,1024,OS2-f8-accu-14,1.808048e+00,7.918240e-04,1.838720e-04,4.500960e-04,1.159680e-04,1.225600e-05,
-1.000000,1024,OS2-f8-accu-15,1.683034e+00,8.506400e-04,1.924800e-04,4.893600e-04,1.248480e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-16,1.621898e+00,8.827040e-04,2.014400e-04,5.051680e-04,1.300960e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-17,1.526338e+00,9.379680e-04,2.095360e-04,5.433920e-04,1.389760e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-18,1.476543e+00,9.696000e-04,2.189440e-04,5.560160e-04,1.457600e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-19,1.413719e+00,1.012688e-03,2.261120e-04,5.846080e-04,1.520800e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-20,1.331327e+00,1.075360e-03,2.357280e-04,6.253280e-04,1.614240e-04,1.638400e-05,
-1.000000,1024,OS1-6,6.700501e+00,2.136640e-04,,,,,
-1.000000,1024,OS1-7,6.093604e+00,2.349440e-04,,,,,
-1.000000,1024,OS1-8,5.553531e+00,2.577920e-04,,,,,
-1.000000,1024,OS1-9,5.087473e+00,2.814080e-04,,,,,
-1.000000,1024,ZTRTRMM (GEMM),5.581939e+00,2.564800e-04,,,,,
-1.000000,2048,OS2-i8-fast-9,1.769267e+01,6.473440e-04,2.008480e-04,3.103040e-04,8.507200e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-10,1.618897e+01,7.074720e-04,2.110400e-04,3.479360e-04,9.542400e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-11,1.534893e+01,7.461920e-04,2.215360e-04,3.666080e-04,1.023040e-04,3.072000e-05,
-1.000000,2048,OS2-i8-fast-12,1.414288e+01,8.098240e-04,2.321600e-04,4.062080e-04,1.125920e-04,3.075200e-05,
-1.000000,2048,OS2-i8-fast-13,1.347466e+01,8.499840e-04,2.442400e-04,4.239360e-04,1.211680e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-14,1.289734e+01,8.880320e-04,2.548960e-04,4.430720e-04,1.278240e-04,3.481600e-05,
-1.000000,2048,OS2-i8-fast-15,1.205503e+01,9.500800e-04,2.673600e-04,4.805120e-04,1.381600e-04,3.478400e-05,
-1.000000,2048,OS2-i8-fast-16,1.104502e+01,1.036960e-03,3.253280e-04,4.978240e-04,1.468320e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-17,1.064761e+01,1.075664e-03,3.349920e-04,5.165440e-04,1.531200e-04,3.891200e-05,
-1.000000,2048,OS2-i8-fast-18,1.001466e+01,1.143648e-03,3.535200e-04,5.554560e-04,1.632800e-04,3.891200e-05,
-1.000000,2048,OS2-i8-fast-19,9.714571e+00,1.178976e-03,3.613600e-04,5.714400e-04,1.722880e-04,4.096000e-05,
-1.000000,2048,OS2-i8-fast-20,9.362367e+00,1.223328e-03,3.767680e-04,5.900960e-04,1.799200e-04,4.300800e-05,
-1.000000,2048,OS2-i8-accu-9,1.628844e+01,7.031520e-04,2.581440e-04,3.095200e-04,8.499200e-05,2.659200e-05,
-1.000000,2048,OS2-i8-accu-10,1.498771e+01,7.641760e-04,2.682720e-04,3.475040e-04,9.521600e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-11,1.425583e+01,8.034080e-04,2.785440e-04,3.660480e-04,1.023040e-04,3.072000e-05,
-1.000000,2048,OS2-i8-accu-12,1.324087e+01,8.649920e-04,2.877600e-04,4.051040e-04,1.125440e-04,3.075200e-05,
-1.000000,2048,OS2-i8-accu-13,1.266347e+01,9.044320e-04,2.998400e-04,4.229600e-04,1.208960e-04,3.276800e-05,
-1.000000,2048,OS2-i8-accu-14,1.214111e+01,9.433440e-04,3.110720e-04,4.417120e-04,1.278720e-04,3.481600e-05,
-1.000000,2048,OS2-i8-accu-15,1.140889e+01,1.003888e-03,3.216800e-04,4.795360e-04,1.381120e-04,3.478400e-05,
-1.000000,2048,OS2-i8-accu-16,1.048448e+01,1.092400e-03,3.811680e-04,4.966560e-04,1.464800e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-17,1.014308e+01,1.129168e-03,3.907680e-04,5.158400e-04,1.536640e-04,3.891200e-05,
-1.000000,2048,OS2-i8-accu-18,9.543354e+00,1.200128e-03,4.101440e-04,5.561600e-04,1.633600e-04,3.891200e-05,
-1.000000,2048,OS2-i8-accu-19,9.261105e+00,1.236704e-03,4.171680e-04,5.739200e-04,1.722240e-04,4.096000e-05,
-1.000000,2048,OS2-i8-accu-20,8.949974e+00,1.279696e-03,4.316000e-04,5.922560e-04,1.799360e-04,4.300800e-05,
-1.000000,2048,OS2-f8-fast-9,8.355838e+00,1.370688e-03,2.922240e-04,8.574400e-04,1.684160e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-10,7.793105e+00,1.469664e-03,3.180960e-04,9.093600e-04,1.880800e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-11,7.099565e+00,1.613232e-03,3.430400e-04,1.005872e-03,2.056960e-04,3.276800e-05,
-1.000000,2048,OS2-f8-fast-12,6.698055e+00,1.709936e-03,3.690400e-04,1.057792e-03,2.231520e-04,3.273600e-05,
-1.000000,2048,OS2-f8-fast-13,6.013238e+00,1.904672e-03,4.432000e-04,1.157344e-03,2.416960e-04,3.481600e-05,
-1.000000,2048,OS2-f8-fast-14,5.727540e+00,1.999680e-03,4.730720e-04,1.204544e-03,2.574080e-04,3.478400e-05,
-1.000000,2048,OS2-f8-fast-15,5.324832e+00,2.150912e-03,5.024640e-04,1.303808e-03,2.802240e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-16,5.095549e+00,2.247696e-03,5.330400e-04,1.350128e-03,2.960320e-04,3.891200e-05,
-1.000000,2048,OS2-f8-fast-17,4.789941e+00,2.391104e-03,5.575360e-04,1.445472e-03,3.143200e-04,3.891200e-05,
-1.000000,2048,OS2-f8-fast-18,4.599165e+00,2.490288e-03,5.878720e-04,1.494608e-03,3.317920e-04,4.096000e-05,
-1.000000,2048,OS2-f8-fast-19,4.343563e+00,2.636832e-03,6.168160e-04,1.590144e-03,3.504640e-04,4.300800e-05,
-1.000000,2048,OS2-f8-fast-20,4.139360e+00,2.766912e-03,6.456480e-04,1.672432e-03,3.679040e-04,4.505600e-05,
-1.000000,2048,OS2-f8-accu-9,8.041203e+00,1.424320e-03,3.452320e-04,8.560800e-04,1.682880e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-10,7.533761e+00,1.520256e-03,3.699680e-04,9.083200e-04,1.859360e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-11,6.875556e+00,1.665792e-03,3.956800e-04,1.004448e-03,2.048960e-04,3.276800e-05,
-1.000000,2048,OS2-f8-accu-12,6.502383e+00,1.761392e-03,4.194400e-04,1.057312e-03,2.215520e-04,3.276800e-05,
-1.000000,2048,OS2-f8-accu-13,5.857839e+00,1.955200e-03,4.944000e-04,1.156128e-03,2.412000e-04,3.481600e-05,
-1.000000,2048,OS2-f8-accu-14,5.579590e+00,2.052704e-03,5.238880e-04,1.203552e-03,2.590880e-04,3.478400e-05,
-1.000000,2048,OS2-f8-accu-15,5.201935e+00,2.201728e-03,5.556480e-04,1.300768e-03,2.783520e-04,3.686400e-05,
-1.000000,2048,OS2-f8-accu-16,4.978772e+00,2.300416e-03,5.844320e-04,1.348992e-03,2.964960e-04,3.891200e-05,
-1.000000,2048,OS2-f8-accu-17,4.690877e+00,2.441600e-03,6.080000e-04,1.444992e-03,3.123520e-04,3.891200e-05,
-1.000000,2048,OS2-f8-accu-18,4.507420e+00,2.540976e-03,6.371840e-04,1.494400e-03,3.335520e-04,4.096000e-05,
-1.000000,2048,OS2-f8-accu-19,4.257611e+00,2.690064e-03,6.681760e-04,1.590864e-03,3.517280e-04,4.300800e-05,
-1.000000,2048,OS2-f8-accu-20,4.062472e+00,2.819280e-03,6.971040e-04,1.670528e-03,3.692480e-04,4.505600e-05,
-1.000000,2048,OS1-6,1.382387e+01,8.285120e-04,,,,,
