phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.742028e+00,3.698400e-04,7.006400e-05,2.082560e-04,5.460800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.997340e+00,4.092000e-04,7.374400e-05,2.372000e-04,6.035200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.761002e+00,4.235040e-04,7.736000e-05,2.413760e-04,6.507200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-12,6.148668e+00,4.656800e-04,8.099200e-05,2.702400e-04,7.176000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.010108e+00,4.764160e-04,8.646400e-05,2.746400e-04,7.360000e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-14,5.899745e+00,4.853280e-04,9.032000e-05,2.734240e-04,7.742400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.392382e+00,5.309920e-04,9.520000e-05,3.044480e-04,8.340800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.071470e+00,5.645920e-04,1.246400e-04,3.043200e-04,8.641600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.942061e+00,5.793760e-04,1.325600e-04,3.064320e-04,9.059200e-05,1.840000e-05,
-1.000000,1024,OS2-i8-fast-18,4.585583e+00,6.244160e-04,1.398240e-04,3.356000e-04,9.753600e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.474260e+00,6.399520e-04,1.479360e-04,3.385440e-04,1.006400e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.382119e+00,6.534080e-04,1.568960e-04,3.410880e-04,1.022720e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.901808e+00,4.148640e-04,1.152160e-04,2.077440e-04,5.403200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.305076e+00,4.541280e-04,1.179040e-04,2.366720e-04,6.156800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,6.129293e+00,4.671520e-04,1.215200e-04,2.414080e-04,6.420800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-12,5.627754e+00,5.087840e-04,1.248960e-04,2.696480e-04,7.160000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.537035e+00,5.171200e-04,1.274880e-04,2.727840e-04,7.403200e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-14,5.424911e+00,5.278080e-04,1.324800e-04,2.738080e-04,7.681600e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.014205e+00,5.710400e-04,1.349120e-04,3.044160e-04,8.390400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.855177e+00,5.897440e-04,1.509440e-04,3.031680e-04,8.604800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.738699e+00,6.042400e-04,1.566240e-04,3.064480e-04,9.112000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-18,4.444921e+00,6.441760e-04,1.613440e-04,3.337760e-04,9.736000e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.347203e+00,6.586560e-04,1.668800e-04,3.375360e-04,1.009280e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.288654e+00,6.676480e-04,1.716320e-04,3.392160e-04,1.032640e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.024200e+00,5.699040e-04,1.102400e-04,3.333120e-04,8.828800e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-10,4.699500e+00,6.092800e-04,1.251520e-04,3.490240e-04,9.696000e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-11,4.253184e+00,6.732160e-04,1.376000e-04,3.869760e-04,1.066080e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,3.992704e+00,7.171360e-04,1.610880e-04,3.994240e-04,1.144160e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-13,2.919316e+00,9.808160e-04,3.737920e-04,4.376000e-04,1.251840e-04,1.641600e-05,
-1.000000,1024,OS2-f8-fast-14,2.764839e+00,1.035616e-03,4.063200e-04,4.504960e-04,1.301440e-04,1.843200e-05,
