phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.718986e+00,3.709440e-04,7.000000e-05,2.094080e-04,5.428800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.962764e+00,4.112320e-04,7.321600e-05,2.381920e-04,6.118400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-11,6.756663e+00,4.237760e-04,7.681600e-05,2.418560e-04,6.529600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-12,6.133284e+00,4.668480e-04,8.112000e-05,2.714080e-04,7.252800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.040334e+00,4.740320e-04,8.560000e-05,2.730720e-04,7.376000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,5.908120e+00,4.846400e-04,8.992000e-05,2.732320e-04,7.838400e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.392707e+00,5.309600e-04,9.516800e-05,3.036320e-04,8.526400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.100960e+00,5.613280e-04,1.248480e-04,3.028640e-04,8.556800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.952729e+00,5.781280e-04,1.324800e-04,3.054560e-04,9.075200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.597127e+00,6.228480e-04,1.399680e-04,3.342720e-04,9.692800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.480197e+00,6.391040e-04,1.481440e-04,3.381280e-04,1.005600e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.385125e+00,6.529600e-04,1.567520e-04,3.381440e-04,1.034880e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.881637e+00,4.160800e-04,1.151520e-04,2.082880e-04,5.472000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.291112e+00,4.551360e-04,1.173120e-04,2.374080e-04,6.225600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.105871e+00,4.689440e-04,1.209920e-04,2.418240e-04,6.532800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-12,5.606070e+00,5.107520e-04,1.241920e-04,2.714240e-04,7.283200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.548193e+00,5.160800e-04,1.270560e-04,2.724000e-04,7.379200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.419654e+00,5.283200e-04,1.322880e-04,2.736320e-04,7.830400e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.011537e+00,5.713440e-04,1.347360e-04,3.041120e-04,8.528000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.859924e+00,5.891680e-04,1.506560e-04,3.033440e-04,8.643200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.749893e+00,6.028160e-04,1.566560e-04,3.064800e-04,9.024000e-05,1.840000e-05,
-1.000000,1024,OS2-i8-accu-18,4.430505e+00,6.462720e-04,1.615840e-04,3.358880e-04,9.772800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.337509e+00,6.601280e-04,1.661120e-04,3.399840e-04,1.011040e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.289374e+00,6.675360e-04,1.721600e-04,3.382240e-04,1.028480e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.000474e+00,5.726080e-04,1.120480e-04,3.338240e-04,8.976000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.695308e+00,6.098240e-04,1.253280e-04,3.487040e-04,9.766400e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-11,4.240887e+00,6.751680e-04,1.376960e-04,3.867680e-04,1.090240e-04,1.638400e-05,
