phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,8.070577e+00,3.547840e-04,5.579200e-05,2.092960e-04,5.403200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.191648e+00,3.981440e-04,5.998400e-05,2.400160e-04,6.084800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-11,6.966288e+00,4.110240e-04,6.377600e-05,2.414560e-04,6.625600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-12,6.344642e+00,4.512960e-04,6.859200e-05,2.681280e-04,7.188800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.189070e+00,4.626400e-04,7.406400e-05,2.736800e-04,7.353600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.025284e+00,4.752160e-04,8.016000e-05,2.753760e-04,7.649600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.485608e+00,5.219680e-04,8.787200e-05,3.026560e-04,8.508800e-05,1.846400e-05,
-1.000000,1024,OS2-i8-fast-16,5.126972e+00,5.584800e-04,1.198240e-04,3.052640e-04,8.632000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.985013e+00,5.743840e-04,1.295680e-04,3.054400e-04,9.088000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.625526e+00,6.190240e-04,1.378560e-04,3.330240e-04,9.708800e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.501949e+00,6.360160e-04,1.463840e-04,3.364000e-04,1.004640e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.394278e+00,6.516000e-04,1.569440e-04,3.388640e-04,1.027040e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,7.083477e+00,4.042240e-04,1.041920e-04,2.093280e-04,5.433600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.458675e+00,4.433280e-04,1.054240e-04,2.393440e-04,6.097600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.287796e+00,4.553760e-04,1.093600e-04,2.411200e-04,6.526400e-05,1.436800e-05,
-1.000000,1024,OS2-i8-accu-12,5.784374e+00,4.950080e-04,1.128160e-04,2.698080e-04,7.145600e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.694551e+00,5.028160e-04,1.145760e-04,2.728480e-04,7.318400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.559569e+00,5.150240e-04,1.189920e-04,2.744960e-04,7.772800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-15,5.155924e+00,5.553440e-04,1.210400e-04,3.029760e-04,8.396800e-05,1.846400e-05,
-1.000000,1024,OS2-i8-accu-16,5.044736e+00,5.675840e-04,1.279200e-04,3.051040e-04,8.700800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.945612e+00,5.789600e-04,1.323520e-04,3.068480e-04,9.102400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-18,4.619079e+00,6.198880e-04,1.353280e-04,3.357120e-04,9.747200e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.545632e+00,6.299040e-04,1.388320e-04,3.375040e-04,1.013120e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.502175e+00,6.359840e-04,1.409600e-04,3.381760e-04,1.034720e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,4.989321e+00,5.738880e-04,1.153600e-04,3.326560e-04,8.859200e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-10,4.610986e+00,6.209760e-04,1.375840e-04,3.490880e-04,9.678400e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-11,4.162080e+00,6.879520e-04,1.528000e-04,3.870240e-04,1.070560e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,3.839701e+00,7.457120e-04,1.890400e-04,4.000160e-04,1.143680e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-13,2.390045e+00,1.198016e-03,5.931040e-04,4.368160e-04,1.229120e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-14,2.238361e+00,1.279200e-03,6.494720e-04,4.514400e-04,1.298880e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-15,2.065404e+00,1.386320e-03,7.057600e-04,4.896640e-04,1.417920e-04,1.840000e-05,
-1.000000,1024,OS2-f8-fast-16,1.956947e+00,1.463152e-03,7.616960e-04,5.027040e-04,1.461920e-04,2.051200e-05,
-1.000000,1024,OS2-f8-fast-17,1.820963e+00,1.572416e-03,8.215680e-04,5.417120e-04,1.565120e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-18,1.747814e+00,1.638224e-03,8.671200e-04,5.536320e-04,1.624960e-04,2.054400e-05,
-1.000000,1024,OS2-f8-fast-19,1.644266e+00,1.741392e-03,9.216960e-04,5.854560e-04,1.773280e-04,2.256000e-05,
-1.000000,1024,OS2-f8-fast-20,1.548191e+00,1.849456e-03,9.746880e-04,6.268640e-04,1.898560e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-9,4.955335e+00,5.778240e-04,1.185280e-04,3.335360e-04,8.868800e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-10,4.671896e+00,6.128800e-04,1.278560e-04,3.492960e-04,9.628800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.247732e+00,6.740800e-04,1.380800e-04,3.871200e-04,1.072960e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.036927e+00,7.092800e-04,1.491520e-04,4.033920e-04,1.149600e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-13,3.672419e+00,7.796800e-04,1.696800e-04,4.399040e-04,1.243840e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-14,3.518896e+00,8.136960e-04,1.811040e-04,4.548000e-04,1.321280e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-15,3.282650e+00,8.722560e-04,1.919040e-04,4.920800e-04,1.411200e-04,1.846400e-05,
-1.000000,1024,OS2-f8-accu-16,3.163740e+00,9.050400e-04,1.993920e-04,5.059840e-04,1.490240e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-17,2.980282e+00,9.607520e-04,2.065600e-04,5.431040e-04,1.593440e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-18,2.882776e+00,9.932480e-04,2.144960e-04,5.571840e-04,1.668000e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-19,2.734505e+00,1.047104e-03,2.257600e-04,5.857920e-04,1.795360e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-20,2.585897e+00,1.107280e-03,2.358720e-04,6.249920e-04,1.888320e-04,2.256000e-05,
-1.000000,1024,OS1-6,1.353070e+01,2.116160e-04,,,,,
-1.000000,1024,OS1-7,1.228509e+01,2.330720e-04,,,,,
-1.000000,1024,OS1-8,1.123325e+01,2.548960e-04,,,,,
-1.000000,1024,OS1-9,1.024602e+01,2.794560e-04,,,,,
-1.000000,1024,ZTRTRMM (GEMM),1.097828e+01,2.608160e-04,,,,,
-1.000000,2048,OS2-i8-fast-9,3.719842e+01,6.157920e-04,1.382080e-04,3.148480e-04,1.021920e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-10,3.368364e+01,6.800480e-04,1.504000e-04,3.529760e-04,1.130240e-04,3.891200e-05,
-1.000000,2048,OS2-i8-fast-11,3.123976e+01,7.332480e-04,1.641920e-04,3.744320e-04,1.261440e-04,4.499200e-05,
-1.000000,2048,OS2-i8-fast-12,2.857939e+01,8.015040e-04,1.773120e-04,4.138560e-04,1.388000e-04,4.505600e-05,
-1.000000,2048,OS2-i8-fast-13,2.707623e+01,8.460000e-04,1.912320e-04,4.323040e-04,1.491040e-04,4.710400e-05,
-1.000000,2048,OS2-i8-fast-14,2.571683e+01,8.907200e-04,2.046400e-04,4.489120e-04,1.603360e-04,4.918400e-05,
-1.000000,2048,OS2-i8-fast-15,2.386769e+01,9.597280e-04,2.204000e-04,4.874560e-04,1.723360e-04,5.120000e-05,
-1.000000,2048,OS2-i8-fast-16,2.091107e+01,1.095424e-03,3.183040e-04,5.063840e-04,1.883040e-04,5.324800e-05,
-1.000000,2048,OS2-i8-fast-17,1.995562e+01,1.147872e-03,3.392320e-04,5.231200e-04,1.980960e-04,5.734400e-05,
-1.000000,2048,OS2-i8-fast-18,1.877040e+01,1.220352e-03,3.575360e-04,5.646240e-04,2.093600e-04,5.939200e-05,
-1.000000,2048,OS2-i8-fast-19,1.801074e+01,1.271824e-03,3.780160e-04,5.794080e-04,2.207520e-04,6.147200e-05,
-1.000000,2048,OS2-i8-fast-20,1.753706e+01,1.306176e-03,3.790240e-04,5.964800e-04,2.355200e-04,6.352000e-05,
-1.000000,2048,OS2-i8-accu-9,3.342647e+01,6.852800e-04,2.063040e-04,3.168960e-04,1.024480e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-10,3.072420e+01,7.455520e-04,2.144960e-04,3.558080e-04,1.129280e-04,3.891200e-05,
-1.000000,2048,OS2-i8-accu-11,2.900202e+01,7.898240e-04,2.227680e-04,3.728000e-04,1.260960e-04,4.300800e-05,
-1.000000,2048,OS2-i8-accu-12,2.687445e+01,8.523520e-04,2.305760e-04,4.121760e-04,1.386560e-04,4.505600e-05,
-1.000000,2048,OS2-i8-accu-13,2.566013e+01,8.926880e-04,2.389440e-04,4.299360e-04,1.503680e-04,4.710400e-05,
-1.000000,2048,OS2-i8-accu-14,2.455418e+01,9.328960e-04,2.491840e-04,4.463360e-04,1.602240e-04,4.918400e-05,
-1.000000,2048,OS2-i8-accu-15,2.295276e+01,9.979840e-04,2.597760e-04,4.863680e-04,1.716800e-04,5.120000e-05,
-1.000000,2048,OS2-i8-accu-16,2.123520e+01,1.078704e-03,3.014560e-04,5.058720e-04,1.885760e-04,5.324800e-05,
-1.000000,2048,OS2-i8-accu-17,2.043384e+01,1.121008e-03,3.156320e-04,5.205440e-04,1.982720e-04,5.734400e-05,
-1.000000,2048,OS2-i8-accu-18,1.928597e+01,1.187728e-03,3.270720e-04,5.613920e-04,2.095520e-04,5.939200e-05,
-1.000000,2048,OS2-i8-accu-19,1.860646e+01,1.231104e-03,3.368640e-04,5.799520e-04,2.212960e-04,6.147200e-05,
-1.000000,2048,OS2-i8-accu-20,1.798269e+01,1.273808e-03,3.480800e-04,5.939840e-04,2.358560e-04,6.348800e-05,
-1.000000,2048,OS2-f8-fast-9,1.533955e+01,1.493296e-03,3.045920e-04,8.513760e-04,2.770080e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-10,1.408348e+01,1.626480e-03,3.522080e-04,9.041600e-04,3.068640e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-11,1.269423e+01,1.804480e-03,3.938720e-04,9.996800e-04,3.421600e-04,4.297600e-05,
-1.000000,2048,OS2-f8-fast-12,1.157885e+01,1.978304e-03,4.870560e-04,1.050160e-03,3.693280e-04,4.502400e-05,
-1.000000,2048,OS2-f8-fast-13,7.599466e+00,3.014224e-03,1.394896e-03,1.145392e-03,4.002720e-04,4.707200e-05,
-1.000000,2048,OS2-f8-fast-14,7.061815e+00,3.243712e-03,1.536464e-03,1.196944e-03,4.320320e-04,4.912000e-05,
-1.000000,2048,OS2-f8-fast-15,6.526542e+00,3.509744e-03,1.675472e-03,1.292912e-03,4.588480e-04,5.120000e-05,
-1.000000,2048,OS2-f8-fast-16,6.107121e+00,3.750784e-03,1.829552e-03,1.343856e-03,4.910400e-04,5.324800e-05,
-1.000000,2048,OS2-f8-fast-17,5.691156e+00,4.024928e-03,1.979296e-03,1.434304e-03,5.207360e-04,5.734400e-05,
-1.000000,2048,OS2-f8-fast-18,5.415554e+00,4.229760e-03,2.105904e-03,1.479440e-03,5.510880e-04,5.939200e-05,
-1.000000,2048,OS2-f8-fast-19,5.098108e+00,4.493136e-03,2.234704e-03,1.578224e-03,5.817600e-04,6.348800e-05,
-1.000000,2048,OS2-f8-fast-20,4.829675e+00,4.742864e-03,2.372800e-03,1.661392e-03,6.082400e-04,6.553600e-05,
-1.000000,2048,OS2-f8-accu-9,1.526074e+01,1.501008e-03,3.109760e-04,8.503200e-04,2.784480e-04,3.686400e-05,
-1.000000,2048,OS2-f8-accu-10,1.420124e+01,1.612992e-03,3.383200e-04,9.032960e-04,3.093440e-04,3.686400e-05,
-1.000000,2048,OS2-f8-accu-11,1.292867e+01,1.771760e-03,3.652480e-04,9.978720e-04,3.404800e-04,4.297600e-05,
-1.000000,2048,OS2-f8-accu-12,1.215348e+01,1.884768e-03,3.947360e-04,1.049120e-03,3.694240e-04,4.502400e-05,
-1.000000,2048,OS2-f8-accu-13,1.081940e+01,2.117168e-03,4.949600e-04,1.145376e-03,4.020800e-04,4.707200e-05,
-1.000000,2048,OS2-f8-accu-14,1.025226e+01,2.234288e-03,5.308480e-04,1.194640e-03,4.300480e-04,4.912000e-05,
-1.000000,2048,OS2-f8-accu-15,9.544563e+00,2.399952e-03,5.675200e-04,1.290928e-03,4.604640e-04,5.116800e-05,
-1.000000,2048,OS2-f8-accu-16,9.081920e+00,2.522208e-03,6.046560e-04,1.339648e-03,4.926240e-04,5.324800e-05,
-1.000000,2048,OS2-f8-accu-17,8.530901e+00,2.685120e-03,6.381760e-04,1.435120e-03,5.230720e-04,5.734400e-05,
-1.000000,2048,OS2-f8-accu-18,8.165911e+00,2.805136e-03,6.762400e-04,1.482976e-03,5.531360e-04,5.936000e-05,
-1.000000,2048,OS2-f8-accu-19,7.701339e+00,2.974352e-03,7.182080e-04,1.578688e-03,5.807360e-04,6.342400e-05,
-1.000000,2048,OS2-f8-accu-20,7.195696e+00,3.183360e-03,8.104640e-04,1.662000e-03,6.097760e-04,6.553600e-05,
-1.000000,2048,OS1-6,2.764882e+01,8.284800e-04,,,,,
-1.000000,2048,OS1-7,2.332599e+01,9.820160e-04,,,,,
-1.000000,2048,OS1-8,1.989323e+01,1.151472e-03,,,,,
-1.000000,2048,OS1-9,1.707218e+01,1.341744e-03,,,,,
-1.000000,2048,ZTRTRMM (GEMM),1.265362e+01,1.810272e-03,,,,,
-1.000000,4096,OS2-i8-fast-9,8.406608e+01,2.179856e-03,4.028960e-04,1.265824e-03,3.627680e-04,1.238880e-04,
-1.000000,4096,OS2-i8-fast-10,7.792172e+01,2.351744e-03,4.432800e-04,1.352064e-03,3.973600e-04,1.331200e-04,
-1.000000,4096,OS2-i8-fast-11,7.043470e+01,2.601728e-03,4.900640e-04,1.497488e-03,4.387840e-04,1.495040e-04,
-1.000000,4096,OS2-i8-fast-12,6.601028e+01,2.776112e-03,5.365600e-04,1.585728e-03,4.734560e-04,1.536000e-04,
-1.000000,4096,OS2-i8-fast-13,6.073963e+01,3.017008e-03,5.811040e-04,1.732112e-03,5.144320e-04,1.617920e-04,
-1.000000,4096,OS2-i8-fast-14,5.734939e+01,3.195360e-03,6.265920e-04,1.820288e-03,5.507360e-04,1.679040e-04,
-1.000000,4096,OS2-i8-fast-15,5.443481e+01,3.366448e-03,6.736640e-04,1.901648e-03,5.833120e-04,1.760960e-04,
-1.000000,4096,OS2-i8-fast-16,4.711835e+01,3.889184e-03,9.996960e-04,2.047648e-03,6.236160e-04,1.863360e-04,
-1.000000,4096,OS2-i8-fast-17,4.476285e+01,4.093840e-03,1.069312e-03,2.133648e-03,6.594080e-04,1.986560e-04,
-1.000000,4096,OS2-i8-fast-18,4.285512e+01,4.276080e-03,1.132688e-03,2.215552e-03,6.924960e-04,2.027360e-04,
-1.000000,4096,OS2-i8-fast-19,4.037980e+01,4.538208e-03,1.199728e-03,2.357632e-03,7.340160e-04,2.129920e-04,
-1.000000,4096,OS2-i8-fast-20,3.958910e+01,4.628848e-03,1.165664e-03,2.441680e-03,7.679840e-04,2.191360e-04,
-1.000000,4096,OS2-i8-accu-9,7.515796e+01,2.438224e-03,6.643200e-04,1.263296e-03,3.624960e-04,1.248960e-04,
-1.000000,4096,OS2-i8-accu-10,7.041522e+01,2.602448e-03,6.951680e-04,1.350368e-03,3.973120e-04,1.331200e-04,
-1.000000,4096,OS2-i8-accu-11,6.462764e+01,2.835504e-03,7.256160e-04,1.495840e-03,4.388320e-04,1.495040e-04,
-1.000000,4096,OS2-i8-accu-12,6.122733e+01,2.992976e-03,7.553120e-04,1.583808e-03,4.730880e-04,1.536000e-04,
-1.000000,4096,OS2-i8-accu-13,5.687211e+01,3.222176e-03,7.881280e-04,1.730032e-03,5.140480e-04,1.617600e-04,
-1.000000,4096,OS2-i8-accu-14,5.403418e+01,3.391408e-03,8.241440e-04,1.818928e-03,5.506080e-04,1.679040e-04,
-1.000000,4096,OS2-i8-accu-15,5.162538e+01,3.549648e-03,8.593120e-04,1.899824e-03,5.834240e-04,1.760960e-04,
-1.000000,4096,OS2-i8-accu-16,4.686789e+01,3.909968e-03,1.024064e-03,2.043088e-03,6.236320e-04,1.863360e-04,
-1.000000,4096,OS2-i8-accu-17,4.476670e+01,4.093488e-03,1.075424e-03,2.127232e-03,6.593920e-04,1.986560e-04,
-1.000000,4096,OS2-i8-accu-18,4.305732e+01,4.256000e-03,1.118784e-03,2.207504e-03,6.926400e-04,2.027520e-04,
-1.000000,4096,OS2-i8-accu-19,4.079954e+01,4.491520e-03,1.159360e-03,2.352480e-03,7.337920e-04,2.119680e-04,
-1.000000,4096,OS2-i8-accu-20,3.927563e+01,4.665792e-03,1.205600e-03,2.438688e-03,7.680000e-04,2.191360e-04,
-1.000000,4096,OS2-f8-fast-9,3.426951e+01,5.347376e-03,9.488000e-04,3.290720e-03,9.564160e-04,1.248960e-04,
-1.000000,4096,OS2-f8-fast-10,3.062685e+01,5.983376e-03,1.103616e-03,3.658288e-03,1.060128e-03,1.330880e-04,
-1.000000,4096,OS2-f8-fast-11,2.818650e+01,6.501408e-03,1.251952e-03,3.915792e-03,1.151296e-03,1.515200e-04,
-1.000000,4096,OS2-f8-fast-12,2.509052e+01,7.303632e-03,1.566800e-03,4.285840e-03,1.260240e-03,1.597440e-04,
-1.000000,4096,OS2-f8-fast-13,1.853867e+01,9.884848e-03,3.805552e-03,4.533920e-03,1.347872e-03,1.658560e-04,
-1.000000,4096,OS2-f8-fast-14,1.699365e+01,1.078355e-02,4.219056e-03,4.904144e-03,1.454480e-03,1.740480e-04,
-1.000000,4096,OS2-f8-fast-15,1.584446e+01,1.156568e-02,4.644432e-03,5.155952e-03,1.546128e-03,1.822400e-04,
-1.000000,4096,OS2-f8-fast-16,1.470548e+01,1.246147e-02,5.063712e-03,5.521648e-03,1.650784e-03,1.925120e-04,
-1.000000,4096,OS2-f8-fast-17,1.385042e+01,1.323078e-02,5.487840e-03,5.761760e-03,1.741936e-03,2.027520e-04,
