phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,4.088202e+00,3.501920e-04,5.945600e-05,2.074240e-04,5.100800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.634382e+00,3.939200e-04,6.297600e-05,2.370560e-04,5.824000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.532789e+00,4.052480e-04,6.640000e-05,2.400800e-04,6.184000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.205621e+00,4.466080e-04,7.088000e-05,2.692000e-04,6.838400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.133768e+00,4.568480e-04,7.528000e-05,2.707040e-04,7.196800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-14,3.066012e+00,4.669440e-04,7.964800e-05,2.727520e-04,7.550400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-15,2.802069e+00,5.109280e-04,8.456000e-05,3.033600e-04,8.113600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-16,2.628241e+00,5.447200e-04,1.137920e-04,3.037920e-04,8.347200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.566133e+00,5.579040e-04,1.214880e-04,3.045920e-04,8.857600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.371988e+00,6.035680e-04,1.297760e-04,3.342720e-04,9.441600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.319778e+00,6.171520e-04,1.375520e-04,3.360320e-04,9.859200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.267287e+00,6.314400e-04,1.460800e-04,3.364160e-04,1.004160e-04,1.638400e-05,
-1.000000,1024,OS2-i8-accu-9,3.523746e+00,4.062880e-04,1.158400e-04,2.067840e-04,5.158400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.194291e+00,4.481920e-04,1.182400e-04,2.367680e-04,5.752000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.115763e+00,4.594880e-04,1.212000e-04,2.410400e-04,6.067200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.867257e+00,4.993120e-04,1.245440e-04,2.693920e-04,6.745600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.807168e+00,5.100000e-04,1.286720e-04,2.713760e-04,7.084800e-05,1.228800e-05,
