phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.870738e+00,3.637920e-04,6.284800e-05,2.094080e-04,5.550400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.057498e+00,4.057120e-04,6.555200e-05,2.402240e-04,6.275200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,6.904204e+00,4.147200e-04,6.920000e-05,2.414240e-04,6.585600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-12,6.261396e+00,4.572960e-04,7.198400e-05,2.699680e-04,7.299200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.141072e+00,4.662560e-04,7.540800e-05,2.738240e-04,7.451200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.046048e+00,4.735840e-04,7.840000e-05,2.746720e-04,7.752000e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.532413e+00,5.175520e-04,8.132800e-05,3.040480e-04,8.539200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.227463e+00,5.477440e-04,1.069600e-04,3.057600e-04,8.785600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.122276e+00,5.589920e-04,1.138080e-04,3.063200e-04,9.120000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.725186e+00,6.059680e-04,1.207200e-04,3.372800e-04,9.825600e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.619198e+00,6.198720e-04,1.279680e-04,3.388320e-04,1.017280e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.539866e+00,6.307040e-04,1.353120e-04,3.378400e-04,1.042880e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.748764e+00,4.242720e-04,1.226880e-04,2.107200e-04,5.465600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.146978e+00,4.658080e-04,1.257760e-04,2.400320e-04,6.227200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,5.982382e+00,4.786240e-04,1.326240e-04,2.415840e-04,6.529600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-12,5.495040e+00,5.210720e-04,1.362880e-04,2.713280e-04,7.150400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.388160e+00,5.314080e-04,1.399040e-04,2.745440e-04,7.412800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.327210e+00,5.374880e-04,1.417920e-04,2.753920e-04,7.715200e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,4.909118e+00,5.832640e-04,1.480800e-04,3.045600e-04,8.444800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,4.694938e+00,6.098720e-04,1.711200e-04,3.036160e-04,8.692800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.594413e+00,6.232160e-04,1.781920e-04,3.062080e-04,9.086400e-05,1.840000e-05,
-1.000000,1024,OS2-i8-accu-18,4.268401e+00,6.708160e-04,1.861280e-04,3.354880e-04,9.795200e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.181922e+00,6.846880e-04,1.926720e-04,3.381600e-04,1.016640e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.114994e+00,6.958240e-04,1.999360e-04,3.373120e-04,1.046080e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.280992e+00,5.421920e-04,8.334400e-05,3.339840e-04,8.769600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.947116e+00,5.787840e-04,9.305600e-05,3.500640e-04,9.822400e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-11,4.479187e+00,6.392480e-04,1.020320e-04,3.874560e-04,1.090080e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,4.276050e+00,6.696160e-04,1.112000e-04,4.004960e-04,1.159360e-04,1.635200e-05,
-1.000000,1024,OS2-f8-fast-13,3.848620e+00,7.439840e-04,1.343200e-04,4.390080e-04,1.264800e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-14,3.689682e+00,7.760320e-04,1.432480e-04,4.525280e-04,1.335040e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-15,3.422852e+00,8.365280e-04,1.516800e-04,4.917600e-04,1.453920e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,3.298138e+00,8.681600e-04,1.604320e-04,5.056640e-04,1.512320e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-17,3.085252e+00,9.280640e-04,1.708640e-04,5.438720e-04,1.612640e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-18,2.976960e+00,9.618240e-04,1.783680e-04,5.584800e-04,1.716800e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-19,2.841669e+00,1.007616e-03,1.865920e-04,5.857120e-04,1.792800e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-20,2.673194e+00,1.071120e-03,1.950400e-04,6.241120e-04,1.945920e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-9,4.901990e+00,5.841120e-04,1.237120e-04,3.339360e-04,8.820800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-10,4.626482e+00,6.188960e-04,1.335200e-04,3.488640e-04,9.792000e-05,1.430400e-05,
-1.000000,1024,OS2-f8-accu-11,4.194173e+00,6.826880e-04,1.435360e-04,3.881920e-04,1.090720e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.011319e+00,7.138080e-04,1.522400e-04,4.014560e-04,1.166080e-04,1.635200e-05,
-1.000000,1024,OS2-f8-accu-13,3.640222e+00,7.865760e-04,1.753280e-04,4.393280e-04,1.265920e-04,1.840000e-05,
-1.000000,1024,OS2-f8-accu-14,3.504494e+00,8.170400e-04,1.830560e-04,4.532000e-04,1.339040e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-15,3.270353e+00,8.755360e-04,1.915200e-04,4.901120e-04,1.450560e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-16,3.150318e+00,9.088960e-04,2.001280e-04,5.059840e-04,1.513120e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-17,2.958260e+00,9.679040e-04,2.104800e-04,5.431680e-04,1.607680e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-18,2.855727e+00,1.002656e-03,2.176320e-04,5.588960e-04,1.697120e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-19,2.732626e+00,1.047824e-03,2.267520e-04,5.832160e-04,1.819840e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-20,2.574402e+00,1.112224e-03,2.349440e-04,6.252800e-04,1.944640e-04,2.252800e-05,
-1.000000,1024,OS1-6,1.339498e+01,2.137600e-04,,,,,
-1.000000,1024,OS1-7,1.217974e+01,2.350880e-04,,,,,
-1.000000,1024,OS1-8,1.112156e+01,2.574560e-04,,,,,
