phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,3.944912e+00,3.629120e-04,7.016000e-05,2.086400e-04,5.172800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.539637e+00,4.044640e-04,7.387200e-05,2.385600e-04,5.872000e-05,1.027200e-05,
-1.000000,1024,OS2-i8-fast-11,3.428426e+00,4.175840e-04,7.742400e-05,2.405440e-04,6.348800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,3.126760e+00,4.578720e-04,8.115200e-05,2.694240e-04,6.913600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-13,3.059094e+00,4.680000e-04,8.569600e-05,2.712320e-04,7.281600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,2.995096e+00,4.780000e-04,9.030400e-05,2.727680e-04,7.651200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.750138e+00,5.205760e-04,9.536000e-05,3.021760e-04,8.291200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-16,2.573884e+00,5.562240e-04,1.241280e-04,3.046560e-04,8.507200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.510549e+00,5.702560e-04,1.320640e-04,3.050400e-04,8.940800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-18,2.335826e+00,6.129120e-04,1.388480e-04,3.334080e-04,9.595200e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-19,2.275590e+00,6.291360e-04,1.465760e-04,3.380640e-04,9.846400e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-20,2.236291e+00,6.401920e-04,1.560000e-04,3.367040e-04,1.011680e-04,1.430400e-05,
-1.000000,1024,OS2-i8-accu-9,3.525690e+00,4.060640e-04,1.125280e-04,2.075680e-04,5.248000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.212872e+00,4.456000e-04,1.143520e-04,2.384000e-04,5.862400e-05,1.030400e-05,
-1.000000,1024,OS2-i8-accu-11,3.110132e+00,4.603200e-04,1.197600e-04,2.404160e-04,6.347200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-12,2.863311e+00,5.000000e-04,1.225280e-04,2.691200e-04,7.012800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-13,2.815117e+00,5.085600e-04,1.257760e-04,2.711520e-04,7.315200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-14,2.753947e+00,5.198560e-04,1.297760e-04,2.731680e-04,7.731200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.559380e+00,5.593760e-04,1.320640e-04,3.023360e-04,8.390400e-05,1.232000e-05,
-1.000000,1024,OS2-i8-accu-16,2.464972e+00,5.808000e-04,1.475840e-04,3.038400e-04,8.628800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.418730e+00,5.919040e-04,1.526720e-04,3.045440e-04,9.020800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-18,2.256822e+00,6.343680e-04,1.580800e-04,3.353120e-04,9.644800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-19,2.216240e+00,6.459840e-04,1.635680e-04,3.387680e-04,9.811200e-05,1.430400e-05,
