phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.448781e+00,3.844000e-04,8.420800e-05,2.087360e-04,5.356800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,6.707784e+00,4.268640e-04,8.752000e-05,2.386400e-04,6.121600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-11,6.543695e+00,4.375680e-04,9.078400e-05,2.415520e-04,6.464000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-12,5.975191e+00,4.792000e-04,9.422400e-05,2.707840e-04,7.174400e-05,1.641600e-05,
-1.000000,1024,OS2-i8-fast-13,5.895081e+00,4.857120e-04,9.708800e-05,2.738720e-04,7.310400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,5.761098e+00,4.970080e-04,1.005760e-04,2.755520e-04,7.803200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-15,5.326100e+00,5.376000e-04,1.031040e-04,3.043840e-04,8.321600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.093700e+00,5.621280e-04,1.233120e-04,3.044480e-04,8.676800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,4.989599e+00,5.738560e-04,1.289920e-04,3.068960e-04,8.964800e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.622181e+00,6.194720e-04,1.340160e-04,3.362240e-04,9.750400e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.534804e+00,6.314080e-04,1.381920e-04,3.397920e-04,1.002080e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.471912e+00,6.402880e-04,1.431520e-04,3.395040e-04,1.032960e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,6.734541e+00,4.251680e-04,1.242080e-04,2.087200e-04,5.406400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.118815e+00,4.679520e-04,1.283680e-04,2.391680e-04,6.073600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-11,6.020825e+00,4.755680e-04,1.289280e-04,2.410080e-04,6.484800e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-12,5.487963e+00,5.217440e-04,1.356320e-04,2.715200e-04,7.148800e-05,1.641600e-05,
-1.000000,1024,OS2-i8-accu-13,5.398238e+00,5.304160e-04,1.404320e-04,2.725920e-04,7.304000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.309981e+00,5.392320e-04,1.429120e-04,2.735520e-04,7.688000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-15,4.941788e+00,5.794080e-04,1.448640e-04,3.029280e-04,8.304000e-05,1.846400e-05,
-1.000000,1024,OS2-i8-accu-16,4.717090e+00,6.070080e-04,1.657760e-04,3.049920e-04,8.680000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.632231e+00,6.181280e-04,1.718080e-04,3.062400e-04,9.022400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-18,4.332469e+00,6.608960e-04,1.766560e-04,3.334080e-04,9.761600e-05,2.051200e-05,
-1.000000,1024,OS2-i8-accu-19,4.244508e+00,6.745920e-04,1.819840e-04,3.381760e-04,1.006560e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.188871e+00,6.835520e-04,1.877920e-04,3.372160e-04,1.038080e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.097908e+00,5.616640e-04,1.046400e-04,3.333280e-04,8.665600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.794817e+00,5.971680e-04,1.133440e-04,3.482880e-04,9.659200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.358214e+00,6.569920e-04,1.229600e-04,3.867840e-04,1.058240e-04,1.641600e-05,
-1.000000,1024,OS2-f8-fast-12,4.164890e+00,6.874880e-04,1.317120e-04,3.996160e-04,1.141280e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-13,3.757075e+00,7.621120e-04,1.545120e-04,4.372640e-04,1.247840e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-14,3.600454e+00,7.952640e-04,1.638080e-04,4.517120e-04,1.335200e-04,1.843200e-05,
