phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,7.968518e+00,3.593280e-04,5.585600e-05,2.119040e-04,5.596800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-10,7.180395e+00,3.987680e-04,5.961600e-05,2.390080e-04,6.248000e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-11,7.026187e+00,4.075200e-04,6.323200e-05,2.408640e-04,6.532800e-05,1.430400e-05,
-1.000000,1024,OS2-i8-fast-12,6.311302e+00,4.536800e-04,6.793600e-05,2.712800e-04,7.240000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-13,6.192283e+00,4.624000e-04,7.292800e-05,2.726400e-04,7.414400e-05,1.638400e-05,
-1.000000,1024,OS2-i8-fast-14,6.073544e+00,4.714400e-04,7.814400e-05,2.726080e-04,7.785600e-05,1.635200e-05,
-1.000000,1024,OS2-i8-fast-15,5.509928e+00,5.196640e-04,8.411200e-05,3.052160e-04,8.465600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-16,5.189565e+00,5.517440e-04,1.129280e-04,3.051040e-04,8.622400e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-17,5.051999e+00,5.667680e-04,1.216640e-04,3.065760e-04,9.001600e-05,1.843200e-05,
-1.000000,1024,OS2-i8-fast-18,4.659124e+00,6.145600e-04,1.288960e-04,3.353120e-04,9.798400e-05,2.048000e-05,
-1.000000,1024,OS2-i8-fast-19,4.574916e+00,6.258720e-04,1.364160e-04,3.364160e-04,1.014880e-04,2.048000e-05,
-1.000000,1024,OS2-i8-fast-20,4.472359e+00,6.402240e-04,1.437280e-04,3.396160e-04,1.034080e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-9,7.144276e+00,4.007840e-04,1.008480e-04,2.098080e-04,5.403200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-10,6.488650e+00,4.412800e-04,1.027040e-04,2.388800e-04,6.217600e-05,1.430400e-05,
-1.000000,1024,OS2-i8-accu-11,6.323568e+00,4.528000e-04,1.071680e-04,2.403520e-04,6.526400e-05,1.436800e-05,
-1.000000,1024,OS2-i8-accu-12,5.766481e+00,4.965440e-04,1.112000e-04,2.712640e-04,7.219200e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-13,5.688036e+00,5.033920e-04,1.138400e-04,2.726400e-04,7.384000e-05,1.638400e-05,
-1.000000,1024,OS2-i8-accu-14,5.606070e+00,5.107520e-04,1.169280e-04,2.738880e-04,7.675200e-05,1.635200e-05,
-1.000000,1024,OS2-i8-accu-15,5.170374e+00,5.537920e-04,1.193760e-04,3.041760e-04,8.435200e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-16,5.053426e+00,5.666080e-04,1.284000e-04,3.044320e-04,8.648000e-05,1.843200e-05,
-1.000000,1024,OS2-i8-accu-17,4.981544e+00,5.747840e-04,1.298880e-04,3.061920e-04,9.110400e-05,1.840000e-05,
-1.000000,1024,OS2-i8-accu-18,4.598309e+00,6.226880e-04,1.364160e-04,3.369760e-04,9.790400e-05,2.048000e-05,
-1.000000,1024,OS2-i8-accu-19,4.516606e+00,6.339520e-04,1.389760e-04,3.400480e-04,1.028320e-04,2.048000e-05,
-1.000000,1024,OS2-i8-accu-20,4.486599e+00,6.381920e-04,1.414560e-04,3.384160e-04,1.037600e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-9,5.018564e+00,5.705440e-04,1.106240e-04,3.338880e-04,8.859200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-10,4.649803e+00,6.157920e-04,1.303840e-04,3.496000e-04,9.708800e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.178309e+00,6.852800e-04,1.481920e-04,3.874720e-04,1.070400e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-12,3.865579e+00,7.407200e-04,1.831680e-04,4.010880e-04,1.136480e-04,1.638400e-05,
-1.000000,1024,OS2-f8-fast-13,2.390555e+00,1.197760e-03,5.912320e-04,4.377600e-04,1.235360e-04,1.644800e-05,
-1.000000,1024,OS2-f8-fast-14,2.233528e+00,1.281968e-03,6.505920e-04,4.527200e-04,1.307200e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-15,2.063856e+00,1.387360e-03,7.068640e-04,4.918080e-04,1.400160e-04,1.843200e-05,
-1.000000,1024,OS2-f8-fast-16,1.949295e+00,1.468896e-03,7.646080e-04,5.048000e-04,1.480480e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-17,1.818354e+00,1.574672e-03,8.219680e-04,5.425600e-04,1.576160e-04,2.048000e-05,
-1.000000,1024,OS2-f8-fast-18,1.740065e+00,1.645520e-03,8.714400e-04,5.559840e-04,1.633600e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-19,1.642349e+00,1.743424e-03,9.193600e-04,5.888000e-04,1.788480e-04,2.252800e-05,
-1.000000,1024,OS2-f8-fast-20,1.557692e+00,1.838176e-03,9.702080e-04,6.212160e-04,1.864000e-04,2.256000e-05,
-1.000000,1024,OS2-f8-accu-9,4.951222e+00,5.783040e-04,1.184640e-04,3.341600e-04,8.870400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-10,4.662766e+00,6.140800e-04,1.285440e-04,3.493440e-04,9.696000e-05,1.432000e-05,
-1.000000,1024,OS2-f8-accu-11,4.238376e+00,6.755680e-04,1.389120e-04,3.879040e-04,1.065760e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-12,4.037291e+00,7.092160e-04,1.485440e-04,4.027200e-04,1.146080e-04,1.638400e-05,
-1.000000,1024,OS2-f8-accu-13,3.679365e+00,7.782080e-04,1.698880e-04,4.401600e-04,1.237120e-04,1.644800e-05,
-1.000000,1024,OS2-f8-accu-14,3.520627e+00,8.132960e-04,1.809600e-04,4.541920e-04,1.305280e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-15,3.275021e+00,8.742880e-04,1.910400e-04,4.936320e-04,1.409760e-04,1.843200e-05,
-1.000000,1024,OS2-f8-accu-16,3.154205e+00,9.077760e-04,2.001280e-04,5.072320e-04,1.501120e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-17,2.977951e+00,9.615040e-04,2.083680e-04,5.438400e-04,1.576800e-04,2.048000e-05,
-1.000000,1024,OS2-f8-accu-18,2.874303e+00,9.961760e-04,2.165600e-04,5.593760e-04,1.661760e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-19,2.723560e+00,1.051312e-03,2.272800e-04,5.883680e-04,1.794720e-04,2.252800e-05,
-1.000000,1024,OS2-f8-accu-20,2.579114e+00,1.110192e-03,2.362880e-04,6.269760e-04,1.884320e-04,2.252800e-05,
-1.000000,1024,OS1-6,1.360476e+01,2.104640e-04,,,,,
