phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-9,4.069979e+00,3.517600e-04,5.956800e-05,2.081600e-04,5.203200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.635416e+00,3.938080e-04,6.249600e-05,2.368320e-04,5.896000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,3.541739e+00,4.042240e-04,6.641600e-05,2.389440e-04,6.241600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,3.213449e+00,4.455200e-04,7.054400e-05,2.679680e-04,6.880000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-13,3.145114e+00,4.552000e-04,7.462400e-05,2.702240e-04,7.163200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-14,3.092076e+00,4.630080e-04,7.921600e-05,2.702400e-04,7.396800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-15,2.814497e+00,5.086720e-04,8.452800e-05,3.003840e-04,8.219200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-16,2.632804e+00,5.437760e-04,1.137920e-04,3.028480e-04,8.363200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-17,2.560332e+00,5.591680e-04,1.220160e-04,3.046400e-04,8.860800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-18,2.371862e+00,6.036000e-04,1.300960e-04,3.338880e-04,9.500800e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-19,2.317495e+00,6.177600e-04,1.375520e-04,3.361280e-04,9.814400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-fast-20,2.270048e+00,6.306720e-04,1.471840e-04,3.362720e-04,1.004960e-04,1.436800e-05,
-1.000000,1024,OS2-i8-accu-9,3.514611e+00,4.073440e-04,1.155680e-04,2.073280e-04,5.140800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.178971e+00,4.503520e-04,1.196800e-04,2.376800e-04,5.849600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,3.128947e+00,4.575520e-04,1.214720e-04,2.379840e-04,6.137600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,2.869096e+00,4.989920e-04,1.249440e-04,2.674560e-04,6.892800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-13,2.814143e+00,5.087360e-04,1.293600e-04,2.703520e-04,7.088000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-14,2.755813e+00,5.195040e-04,1.329760e-04,2.725120e-04,7.484800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-15,2.551571e+00,5.610880e-04,1.360000e-04,3.015840e-04,8.160000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-16,2.452204e+00,5.838240e-04,1.527200e-04,3.034880e-04,8.387200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-17,2.411169e+00,5.937600e-04,1.567040e-04,3.045120e-04,8.864000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-18,2.248655e+00,6.366720e-04,1.624640e-04,3.342080e-04,9.488000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-19,2.206403e+00,6.488640e-04,1.682880e-04,3.367520e-04,9.851200e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-20,2.179160e+00,6.569760e-04,1.722720e-04,3.368320e-04,1.005600e-04,1.536000e-05,
-1.000000,1024,OS2-f8-fast-9,2.627315e+00,5.449120e-04,1.005920e-04,3.339840e-04,7.715200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.454155e+00,5.833600e-04,1.155680e-04,3.494880e-04,8.361600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.221302e+00,6.445120e-04,1.281760e-04,3.867680e-04,9.241600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-12,2.076790e+00,6.893600e-04,1.503360e-04,4.010240e-04,9.945600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-13,1.512253e+00,9.467040e-04,3.631520e-04,4.360640e-04,1.074240e-04,1.225600e-05,
-1.000000,1024,OS2-f8-fast-14,1.425202e+00,1.004528e-03,3.971840e-04,4.517120e-04,1.146400e-04,1.225600e-05,
-1.000000,1024,OS2-f8-fast-15,1.317953e+00,1.086272e-03,4.291360e-04,4.897120e-04,1.237440e-04,1.433600e-05,
