phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-12,8.923161e+00,2.406640e-04,4.795200e-05,1.053360e-04,5.269600e-05,1.430400e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,8.526091e+00,2.518720e-04,5.038400e-05,1.101920e-04,5.552000e-05,1.517600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,8.113509e+00,2.646800e-04,5.194400e-05,1.160560e-04,5.970400e-05,1.580800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,7.564545e+00,2.838880e-04,5.340800e-05,1.266480e-04,6.544000e-05,1.641600e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,7.084973e+00,3.031040e-04,6.498400e-05,1.310000e-04,6.766400e-05,1.676800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,7.801996e+00,2.752480e-04,8.099200e-05,1.073120e-04,5.204000e-05,1.452800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,7.552627e+00,2.843360e-04,8.269600e-05,1.102160e-04,5.586400e-05,1.516800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,7.200715e+00,2.982320e-04,8.411200e-05,1.170720e-04,5.986400e-05,1.584000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,6.735640e+00,3.188240e-04,8.595200e-05,1.280560e-04,6.624800e-05,1.657600e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,6.381293e+00,3.365280e-04,9.736000e-05,1.311360e-04,6.818400e-05,1.676800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,5.483086e+00,3.916560e-04,8.868800e-05,1.931280e-04,7.365600e-05,1.550400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,4.701146e+00,4.568000e-04,1.313440e-04,2.062560e-04,8.108000e-05,1.671200e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-14,4.494750e+00,4.777760e-04,1.378640e-04,2.142560e-04,8.666400e-05,1.705600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-15,4.337440e+00,4.951040e-04,1.276640e-04,2.324480e-04,9.342400e-05,1.825600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-16,3.901735e+00,5.503920e-04,1.540160e-04,2.453200e-04,1.010320e-04,1.953600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,5.057187e+00,4.246400e-04,1.137440e-04,1.949200e-04,7.418400e-05,1.558400e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-13,4.626283e+00,4.641920e-04,1.345760e-04,2.054640e-04,8.020800e-05,1.673600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-14,4.399860e+00,4.880800e-04,1.404480e-04,2.149760e-04,8.743200e-05,1.705600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-15,4.116035e+00,5.217360e-04,1.465600e-04,2.332800e-04,9.384000e-05,1.827200e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-16,3.906504e+00,5.497200e-04,1.529600e-04,2.457200e-04,1.009920e-04,1.960000e-05,
-1.000000,1024,1024,1024,OS1-7,1.070701e+01,2.005680e-04,,,,,
-1.000000,1024,1024,1024,DGEMM,3.664648e+01,5.860000e-05,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-12,2.716408e+01,6.324480e-04,1.374640e-04,3.134640e-04,1.110240e-04,4.512800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-13,2.568422e+01,6.688880e-04,1.426320e-04,3.320480e-04,1.209760e-04,4.716800e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-14,2.447386e+01,7.019680e-04,1.483920e-04,3.467680e-04,1.324160e-04,5.000000e-05,
