phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-6,1.260313e+01,6.815715e-04,4.949000e-05,5.479980e-04,4.396000e-05,1.263000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,1.235825e+01,6.950770e-04,5.175950e-05,5.502170e-04,4.908000e-05,1.402000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,1.062129e+01,8.087465e-04,6.130450e-05,6.409765e-04,5.928000e-05,1.448500e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,1.040761e+01,8.253515e-04,6.537450e-05,6.472575e-04,6.199900e-05,1.507000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,1.060006e+01,8.103665e-04,1.799840e-04,5.464380e-04,4.416000e-05,1.304500e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,1.042460e+01,8.240065e-04,1.790845e-04,5.530975e-04,4.922000e-05,1.398000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,9.172273e+00,9.365110e-04,1.919940e-04,6.418765e-04,5.680000e-05,1.465500e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,8.969937e+00,9.576360e-04,1.989790e-04,6.429175e-04,6.496000e-05,1.499500e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,1.307781e+01,6.568330e-04,8.849500e-05,4.248980e-04,9.391500e-05,1.078000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,1.121370e+01,7.660215e-04,9.920450e-05,4.961780e-04,1.142445e-04,1.364950e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,9.886824e+00,8.688265e-04,1.118200e-04,5.665775e-04,1.284340e-04,1.462500e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,8.755358e+00,9.811060e-04,1.298890e-04,6.431965e-04,1.464690e-04,1.529500e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-6,1.172332e+01,7.327220e-04,1.668290e-04,4.185785e-04,9.710450e-05,1.146000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-7,1.011078e+01,8.495815e-04,1.836490e-04,4.950980e-04,1.127990e-04,1.366500e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-8,9.098630e+00,9.440910e-04,1.939440e-04,5.615575e-04,1.299445e-04,1.476500e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,8.079283e+00,1.063205e-03,2.119845e-04,6.390775e-04,1.482790e-04,1.527500e-05,
-1.000000,1024,1024,1024,CGEMM,7.351910e+01,1.168395e-04,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-6,4.903651e+01,1.401394e-03,1.589700e-04,1.069536e-03,1.056390e-04,3.832450e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-7,4.171254e+01,1.647453e-03,2.204140e-04,1.236445e-03,1.200640e-04,4.146500e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-8,3.568180e+01,1.925897e-03,2.518040e-04,1.459594e-03,1.366640e-04,4.599450e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-9,3.394708e+01,2.024312e-03,2.798590e-04,1.509866e-03,1.514400e-04,4.895000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-6,4.058957e+01,1.693033e-03,3.858535e-04,1.133736e-03,1.059545e-04,3.735000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-7,3.718260e+01,1.848162e-03,4.133035e-04,1.245991e-03,1.193340e-04,3.838950e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-8,3.156294e+01,2.177220e-03,4.926480e-04,1.470824e-03,1.370750e-04,4.561000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-9,3.083594e+01,2.228551e-03,4.980030e-04,1.495323e-03,1.520395e-04,4.846000e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-6,3.420323e+01,2.009152e-03,2.539390e-04,1.363614e-03,3.092990e-04,3.868000e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-7,2.885869e+01,2.381240e-03,3.323585e-04,1.599553e-03,3.591785e-04,4.251500e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-8,2.545761e+01,2.699368e-03,3.612785e-04,1.848492e-03,4.087990e-04,4.679950e-05,
