phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-12,8.047335e+00,1.067426e-03,9.502950e-05,8.343760e-04,8.213950e-05,1.985000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-13,7.974610e+00,1.077160e-03,9.909400e-05,8.292175e-04,8.724000e-05,2.250500e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-14,7.830708e+00,1.096955e-03,1.058300e-04,8.304960e-04,9.659950e-05,2.350000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-15,7.129997e+00,1.204760e-03,1.110240e-04,9.280950e-04,9.960000e-05,2.410500e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-16,7.003959e+00,1.226440e-03,1.290195e-04,9.232970e-04,1.050995e-04,2.442500e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-12,7.179425e+00,1.196465e-03,2.238540e-04,8.349975e-04,8.135850e-05,1.983000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-13,7.102730e+00,1.209385e-03,2.293540e-04,8.289565e-04,8.700000e-05,2.254500e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-14,7.004301e+00,1.226380e-03,2.338490e-04,8.319365e-04,9.727900e-05,2.349000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-15,6.436170e+00,1.334634e-03,2.396190e-04,9.280760e-04,9.992000e-05,2.393500e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-16,6.339931e+00,1.354894e-03,2.565340e-04,9.234765e-04,1.062190e-04,2.443950e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-12,6.535801e+00,1.314289e-03,1.733845e-04,8.743565e-04,1.933245e-04,2.228500e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-13,5.873283e+00,1.462544e-03,2.037890e-04,9.609615e-04,2.158235e-04,2.502900e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-14,5.712973e+00,1.503584e-03,2.142940e-04,9.887255e-04,2.193285e-04,2.603950e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-15,5.253661e+00,1.635038e-03,2.296590e-04,1.080655e-03,2.381540e-04,2.642000e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-16,5.072123e+00,1.693558e-03,2.410840e-04,1.116095e-03,2.493935e-04,2.694500e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-12,6.135562e+00,1.400024e-03,2.505490e-04,8.754600e-04,2.002340e-04,2.117000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-13,5.571461e+00,1.541774e-03,2.812240e-04,9.660860e-04,2.145035e-04,2.378500e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-14,5.390531e+00,1.593523e-03,2.954640e-04,9.916755e-04,2.245535e-04,2.504000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-15,5.013742e+00,1.713278e-03,3.118885e-04,1.069391e-03,2.419795e-04,2.586000e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-16,4.806679e+00,1.787083e-03,3.260640e-04,1.108191e-03,2.620390e-04,2.743000e-05,
-1.000000,1024,1024,1024,ZGEMM,6.822851e+01,1.258995e-04,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-12,2.545313e+01,2.699844e-03,3.881540e-04,1.996971e-03,2.084335e-04,7.322500e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-13,2.340954e+01,2.935533e-03,5.053730e-04,2.101187e-03,2.201135e-04,7.692500e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-14,2.359894e+01,2.911973e-03,4.425680e-04,2.121941e-03,2.323550e-04,7.937450e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-15,2.139616e+01,3.211766e-03,4.869530e-04,2.352870e-03,2.530800e-04,8.545950e-05,
-1.000000,2048,2048,2048,OS2-i8-fast-16,1.978993e+01,3.472446e-03,6.577320e-04,2.423880e-03,2.645030e-04,8.798000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-12,2.324397e+01,2.956443e-03,6.379420e-04,2.004578e-03,2.080575e-04,7.400500e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-13,2.155532e+01,3.188052e-03,7.512470e-04,2.107043e-03,2.199650e-04,7.653950e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-14,2.163584e+01,3.176187e-03,7.007470e-04,2.134111e-03,2.314600e-04,7.920000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-15,1.984721e+01,3.462425e-03,7.354520e-04,2.354651e-03,2.544495e-04,8.521000e-05,
-1.000000,2048,2048,2048,OS2-i8-accu-16,1.837090e+01,3.740669e-03,9.102060e-04,2.442900e-03,2.641340e-04,8.859000e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-12,1.484948e+01,4.627735e-03,6.596025e-04,3.251838e-03,6.024375e-04,7.497000e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-13,1.390948e+01,4.940479e-03,6.915670e-04,3.477186e-03,6.412175e-04,7.839900e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-14,1.161250e+01,5.917715e-03,1.024641e-03,4.052754e-03,6.946030e-04,8.805900e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-15,1.073243e+01,6.402974e-03,1.233240e-03,4.306973e-03,7.346920e-04,9.185400e-05,
-1.000000,2048,2048,2048,OS2-f8-fast-16,1.033985e+01,6.646083e-03,9.782710e-04,4.731496e-03,7.861825e-04,9.874450e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-12,1.390624e+01,4.941629e-03,9.483010e-04,3.288235e-03,5.842980e-04,7.445950e-05,
-1.000000,2048,2048,2048,OS2-f8-accu-13,1.211347e+01,5.672982e-03,1.266530e-03,3.633151e-03,6.348520e-04,8.224950e-05,
