phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
-1.000000,128,128,1024,DGEMM,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,3.405047e-12,
-1.000000,128,128,1024,OS1-7,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,1.126841e-12,
-1.000000,128,128,1024,OS1-11,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,3.158509e-16,
-1.000000,128,128,1024,OS2-i8-fast,8.978518e-04,1.085594e-04,6.051506e-06,7.281269e-07,8.203797e-08,4.348036e-09,3.066161e-10,6.496203e-12,1.790045e-12,2.269862e-14,8.952704e-16,6.270818e-16,
-1.000000,128,128,1024,OS2-i8-accu,6.051506e-06,4.693777e-07,1.521383e-08,2.372131e-09,3.066158e-10,6.496386e-12,7.734964e-13,1.648007e-14,2.184453e-16,2.178210e-16,2.160493e-16,2.122485e-16,
-1.000000,128,128,1024,OS2-f8-fast,2.270053e-05,7.281269e-07,8.203796e-08,2.372132e-09,8.560269e-11,1.703818e-12,2.131280e-14,1.695230e-14,5.447608e-15,1.278366e-14,9.443832e-15,4.593525e-15,
-1.000000,128,128,1024,OS2-f8-accu,6.003375e-08,2.545995e-09,8.561325e-11,4.403114e-12,5.467333e-14,5.679164e-16,2.168572e-16,2.201995e-16,2.099746e-16,2.168572e-16,2.086312e-16,2.110330e-16,
-1.000000,128,128,2048,DGEMM,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,1.367266e-11,
-1.000000,128,128,2048,OS1-7,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,9.927868e-12,
-1.000000,128,128,2048,OS1-11,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,3.148803e-16,
