phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-12,3.308055e+00,6.491680e-04,1.249280e-04,2.088960e-04,9.113600e-05,1.914880e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-13,2.975409e+00,7.217440e-04,1.226080e-04,2.109440e-04,1.285120e-04,1.699840e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-14,2.964369e+00,7.244320e-04,1.207040e-04,2.227520e-04,1.152640e-04,1.802240e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-15,2.841730e+00,7.556960e-04,1.217600e-04,2.262720e-04,7.534400e-05,1.904640e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-16,2.628370e+00,8.170400e-04,1.515520e-04,2.621600e-04,1.654240e-04,2.007040e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-12,2.669353e+00,8.044960e-04,1.832960e-04,2.386400e-04,1.718240e-04,1.597440e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-13,2.730222e+00,7.865600e-04,1.668320e-04,2.199840e-04,1.159680e-04,1.699840e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-14,2.607537e+00,8.235680e-04,1.843200e-04,2.652480e-04,1.398880e-04,1.802240e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-15,2.409222e+00,8.913600e-04,1.836640e-04,2.897920e-04,1.829440e-04,1.904640e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-16,2.333734e+00,9.201920e-04,2.025120e-04,2.806080e-04,1.792000e-04,2.007040e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.976580e+00,1.086464e-03,1.751040e-04,6.144000e-04,9.318400e-05,1.607680e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-13,1.733363e+00,1.238912e-03,2.508800e-04,6.706080e-04,9.932800e-05,1.710080e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-14,1.669188e+00,1.286544e-03,2.150400e-04,7.116480e-04,1.075200e-04,1.822720e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-15,1.582234e+00,1.357248e-03,2.292000e-04,7.680000e-04,1.156480e-04,1.925120e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-16,1.469301e+00,1.461568e-03,2.734080e-04,8.211840e-04,1.208960e-04,2.027520e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-12,1.859177e+00,1.155072e-03,2.437120e-04,6.144000e-04,9.412800e-05,1.607680e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-13,1.710564e+00,1.255424e-03,2.630560e-04,6.748160e-04,1.003520e-04,1.719520e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-14,1.639681e+00,1.309696e-03,2.723840e-04,7.137280e-04,1.085280e-04,1.832960e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-15,1.525288e+00,1.407920e-03,2.887680e-04,7.680000e-04,1.146880e-04,1.925120e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-16,1.436898e+00,1.494528e-03,3.010560e-04,8.202240e-04,1.209440e-04,2.027520e-04,
-1.000000,1024,1024,1024,OS1-7,5.167189e+00,4.156000e-04,,,,,
-1.000000,1024,1024,1024,OS1-11,2.647919e+00,8.110080e-04,,,,,
-1.000000,1024,1024,1024,DGEMM,5.962900e-01,3.601408e-03,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-12,8.109465e+00,2.118496e-03,3.778560e-04,8.673280e-04,1.735520e-04,6.389760e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-13,7.361657e+00,2.333696e-03,3.972640e-04,9.113600e-04,2.723840e-04,6.799360e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-14,6.903094e+00,2.488720e-03,4.161760e-04,9.830400e-04,2.826240e-04,7.270400e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-15,6.509341e+00,2.639264e-03,4.432640e-04,1.066928e-03,2.928640e-04,7.745920e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-16,6.024000e+00,2.851904e-03,4.751360e-04,1.142256e-03,3.440640e-04,8.273920e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-12,6.999255e+00,2.454528e-03,7.162880e-04,8.623040e-04,1.732320e-04,6.297600e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-13,6.444874e+00,2.665664e-03,7.403520e-04,9.077760e-04,2.724000e-04,6.707200e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-14,6.109693e+00,2.811904e-03,7.669760e-04,9.779200e-04,2.827520e-04,7.137280e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-15,5.789614e+00,2.967360e-03,7.802880e-04,1.052672e-03,2.919200e-04,7.546880e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-16,5.471965e+00,3.139616e-03,7.946240e-04,1.120256e-03,3.429760e-04,8.043520e-04,
-1.000000,2048,2048,2048,OS2-f8-fast-12,2.585685e+00,6.644224e-03,6.634240e-04,4.293632e-03,9.400320e-04,6.563840e-04,
-1.000000,2048,2048,2048,OS2-f8-fast-13,2.341551e+00,7.336960e-03,8.601600e-04,4.618240e-03,1.078272e-03,6.983680e-04,
