phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-12,5.629938e+00,3.814400e-04,7.729600e-05,1.276000e-04,4.028800e-05,1.167360e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-13,5.347533e+00,4.015840e-04,7.923200e-05,1.356480e-04,4.032000e-05,1.249280e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-14,5.133787e+00,4.183040e-04,7.928000e-05,1.414400e-04,4.288000e-05,1.331200e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-15,4.814468e+00,4.460480e-04,8.043200e-05,1.562880e-04,4.641600e-05,1.413120e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-16,4.497461e+00,4.774880e-04,9.182400e-05,1.641760e-04,5.016000e-05,1.474560e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-12,5.225936e+00,4.109280e-04,1.066240e-04,1.281280e-04,3.942400e-05,1.167360e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-13,4.995263e+00,4.299040e-04,1.079360e-04,1.357120e-04,4.041600e-05,1.249280e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-14,4.789043e+00,4.484160e-04,1.089920e-04,1.413120e-04,4.347200e-05,1.331200e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-15,4.504102e+00,4.767840e-04,1.107360e-04,1.556480e-04,4.656000e-05,1.413120e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-16,4.185932e+00,5.130240e-04,1.288960e-04,1.633920e-04,4.966400e-05,1.474560e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-12,3.317786e+00,6.472640e-04,9.622400e-05,3.405920e-04,6.904000e-05,1.187840e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-13,3.087310e+00,6.955840e-04,1.123360e-04,3.620160e-04,7.420800e-05,1.249280e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-14,2.927897e+00,7.334560e-04,1.181120e-04,3.808000e-04,7.856000e-05,1.331200e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-15,2.731834e+00,7.860960e-04,1.243200e-04,4.125120e-04,8.486400e-05,1.413120e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-16,2.450928e+00,8.761920e-04,1.877760e-04,4.270720e-04,8.705600e-05,1.495040e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-12,3.091008e+00,6.947520e-04,1.430880e-04,3.423840e-04,6.928000e-05,1.187840e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-13,2.868574e+00,7.486240e-04,1.657600e-04,3.630400e-04,7.280000e-05,1.249280e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-14,2.727227e+00,7.874240e-04,1.731040e-04,3.798240e-04,7.811200e-05,1.331200e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-15,2.556041e+00,8.401600e-04,1.796640e-04,4.110880e-04,8.409600e-05,1.413120e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-16,2.435717e+00,8.816640e-04,1.876800e-04,4.309440e-04,8.833600e-05,1.495040e-04,
-1.000000,1024,1024,1024,OS1-7,5.800247e+00,3.702400e-04,,,,,
-1.000000,1024,1024,1024,DGEMM,7.364565e-01,2.915968e-03,,,,,
-1.000000,1024,1024,2048,OS2-i8-fast-12,8.618064e+00,4.983680e-04,1.221760e-04,1.972800e-04,4.028800e-05,1.187840e-04,
-1.000000,1024,1024,2048,OS2-i8-fast-13,8.201010e+00,5.237120e-04,1.240160e-04,2.109440e-04,4.300800e-05,1.249280e-04,
-1.000000,1024,1024,2048,OS2-i8-fast-14,7.820179e+00,5.492160e-04,1.256320e-04,2.227200e-04,4.556800e-05,1.331200e-04,
-1.000000,1024,1024,2048,OS2-i8-fast-15,7.366505e+00,5.830400e-04,1.283040e-04,2.416640e-04,4.915200e-05,1.413120e-04,
-1.000000,1024,1024,2048,OS2-i8-fast-16,6.842607e+00,6.276800e-04,1.484480e-04,2.575680e-04,5.075200e-05,1.474560e-04,
-1.000000,1024,1024,2048,OS2-i8-accu-12,7.650567e+00,5.613920e-04,1.842880e-04,1.981440e-04,3.964800e-05,1.187840e-04,
-1.000000,1024,1024,2048,OS2-i8-accu-13,7.275265e+00,5.903520e-04,1.914880e-04,2.114880e-04,4.147200e-05,1.249280e-04,
-1.000000,1024,1024,2048,OS2-i8-accu-14,6.892327e+00,6.231520e-04,2.012800e-04,2.229120e-04,4.366400e-05,1.331200e-04,
-1.000000,1024,1024,2048,OS2-i8-accu-15,6.470039e+00,6.638240e-04,2.090720e-04,2.416640e-04,4.915200e-05,1.413120e-04,
-1.000000,1024,1024,2048,OS2-i8-accu-16,6.146485e+00,6.987680e-04,2.198880e-04,2.570880e-04,5.011200e-05,1.474560e-04,
