phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-12,2.950359e+00,7.278720e-04,1.902010e-04,2.308210e-04,1.233405e-04,1.448400e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-13,2.830250e+00,7.587610e-04,1.963405e-04,2.415005e-04,1.282600e-04,1.528000e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-14,2.702915e+00,7.945065e-04,2.026205e-04,2.556410e-04,1.353005e-04,1.613000e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-15,2.528142e+00,8.494315e-04,2.084200e-04,2.807010e-04,1.492810e-04,1.693805e-04,
-1.000000,1024,1024,1024,OS2-i8-fast-16,2.338921e+00,9.181515e-04,2.500800e-04,2.938810e-04,1.565210e-04,1.771200e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-12,2.639560e+00,8.135765e-04,2.743205e-04,2.321805e-04,1.242805e-04,1.437005e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-13,2.491131e+00,8.620515e-04,2.964005e-04,2.444205e-04,1.302000e-04,1.511600e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-14,2.401391e+00,8.942665e-04,2.983605e-04,2.613405e-04,1.359005e-04,1.585200e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-15,2.309688e+00,9.297720e-04,2.904600e-04,2.830410e-04,1.485205e-04,1.657600e-04,
-1.000000,1024,1024,1024,OS2-i8-accu-16,2.134661e+00,1.006007e-03,3.406805e-04,2.971205e-04,1.543805e-04,1.727600e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-12,1.617376e+00,1.327757e-03,2.527400e-04,6.265620e-04,2.578800e-04,1.427205e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-13,1.439373e+00,1.491958e-03,3.232010e-04,6.915000e-04,2.815405e-04,1.515600e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-14,1.370475e+00,1.566963e-03,3.395205e-04,7.341620e-04,2.902415e-04,1.583600e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-15,1.272445e+00,1.687683e-03,3.561005e-04,8.057825e-04,3.150015e-04,1.650800e-04,
-1.000000,1024,1024,1024,OS2-f8-fast-16,1.230816e+00,1.744764e-03,3.668200e-04,8.367210e-04,3.262210e-04,1.716000e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-12,1.464961e+00,1.465899e-03,3.671205e-04,6.595620e-04,2.592610e-04,1.393200e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-13,1.327399e+00,1.617813e-03,4.328410e-04,7.185415e-04,2.739000e-04,1.458205e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-14,1.261594e+00,1.702199e-03,4.475210e-04,7.591220e-04,2.965605e-04,1.534000e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-15,1.184816e+00,1.812504e-03,4.664010e-04,8.197615e-04,3.183205e-04,1.606805e-04,
-1.000000,1024,1024,1024,OS2-f8-accu-16,1.150455e+00,1.866638e-03,4.815410e-04,8.480810e-04,3.260005e-04,1.686000e-04,
-1.000000,1024,1024,1024,DGEMM,7.323432e-01,2.932346e-03,,,,,
-1.000000,2048,2048,2048,OS2-i8-fast-12,6.503030e+00,2.641825e-03,6.280215e-04,1.171323e-03,2.876600e-04,5.172210e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-13,5.920109e+00,2.901951e-03,6.548610e-04,1.280044e-03,3.806205e-04,5.506010e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-14,5.603099e+00,3.066137e-03,6.938415e-04,1.350603e-03,3.977410e-04,5.869610e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-15,5.196467e+00,3.306067e-03,7.498020e-04,1.479284e-03,4.190020e-04,6.223815e-04,
-1.000000,2048,2048,2048,OS2-i8-fast-16,4.797878e+00,3.580722e-03,8.965420e-04,1.547163e-03,4.393810e-04,6.602210e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-12,5.865577e+00,2.928931e-03,8.887820e-04,1.202163e-03,2.868200e-04,5.147610e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-13,5.375896e+00,3.195722e-03,9.229220e-04,1.305582e-03,3.785405e-04,5.489820e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-14,5.101067e+00,3.367898e-03,9.554420e-04,1.387464e-03,3.992415e-04,5.850810e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-15,4.781220e+00,3.593198e-03,1.011382e-03,1.500324e-03,4.220005e-04,6.202615e-04,
-1.000000,2048,2048,2048,OS2-i8-accu-16,4.500797e+00,3.817073e-03,1.140323e-03,1.542184e-03,4.317415e-04,6.604615e-04,
-1.000000,2048,2048,2048,OS2-f8-fast-12,2.973254e+00,5.778137e-03,1.209463e-03,3.090728e-03,8.902020e-04,5.424210e-04,
-1.000000,2048,2048,2048,OS2-f8-fast-13,2.651313e+00,6.479760e-03,1.460764e-03,3.379348e-03,1.015901e-03,5.800415e-04,
-1.000000,2048,2048,2048,OS2-f8-fast-14,2.448642e+00,7.016082e-03,1.582423e-03,3.585848e-03,1.185404e-03,6.197015e-04,
-1.000000,2048,2048,2048,OS2-f8-fast-15,2.291695e+00,7.496578e-03,1.739264e-03,3.849649e-03,1.212682e-03,6.510015e-04,
-1.000000,2048,2048,2048,OS2-f8-fast-16,2.145886e+00,8.005955e-03,1.954125e-03,3.990910e-03,1.324183e-03,6.931620e-04,
-1.000000,2048,2048,2048,OS2-f8-accu-12,2.794404e+00,6.147955e-03,1.542604e-03,3.111008e-03,9.094220e-04,5.404210e-04,
-1.000000,2048,2048,2048,OS2-f8-accu-13,2.530533e+00,6.789032e-03,1.779984e-03,3.381189e-03,1.011884e-03,5.732615e-04,
-1.000000,2048,2048,2048,OS2-f8-accu-14,2.334558e+00,7.358938e-03,1.966345e-03,3.553550e-03,1.186085e-03,6.058210e-04,
-1.000000,2048,2048,2048,OS2-f8-accu-15,2.200269e+00,7.808075e-03,2.069625e-03,3.839770e-03,1.213024e-03,6.419820e-04,
-1.000000,2048,2048,2048,OS2-f8-accu-16,2.078637e+00,8.264967e-03,2.216586e-03,3.994131e-03,1.321844e-03,6.869415e-04,
