phi,m,n,k,function,3,4,5,6,7,8,9,10,11,12,
-1.000000,128,128,1024,CGEMM,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,
-1.000000,128,128,1024,BF16x9,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,4.907389e-03,
-1.000000,128,128,1024,OS2-i8-fast,1.504756e+03,2.634539e+02,1.987975e+01,3.299811e-01,3.536261e-02,1.279082e-03,2.591540e-04,3.926489e-06,4.822798e-06,2.029042e-05,
-1.000000,128,128,1024,OS2-i8-accu,2.634539e+02,1.987975e+01,3.299821e-01,3.536347e-02,1.274991e-03,1.819635e-04,1.506456e-06,1.032375e-07,1.035173e-07,7.236235e-08,
-1.000000,128,128,1024,OS2-f8-fast,5.226860e+02,1.987975e+01,3.715969e-01,4.587280e-03,1.275169e-03,2.011257e-05,2.189115e-05,2.296277e-05,6.829213e-06,8.695808e-05,
-1.000000,128,128,1024,OS2-f8-accu,1.787999e+01,3.299821e-01,3.536347e-02,1.940270e-03,1.098653e-05,1.632701e-07,1.648379e-07,7.434095e-08,1.924464e-07,1.032375e-07,
-1.000000,128,128,2048,CGEMM,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,
-1.000000,128,128,2048,BF16x9,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,4.163724e-03,
-1.000000,128,128,2048,OS2-i8-fast,3.879733e+03,1.649732e+02,1.010434e+01,1.008913e+00,3.765281e-02,2.340892e-03,1.071948e-04,1.061743e-06,8.603073e-06,1.085068e-05,
-1.000000,128,128,2048,OS2-i8-accu,2.271754e+02,1.549035e+01,2.102519e+00,7.781828e-02,3.442805e-03,2.485120e-04,1.735591e-06,7.514299e-08,5.933705e-08,7.410359e-08,
-1.000000,128,128,2048,OS2-f8-fast,2.667914e+02,1.010434e+01,8.007654e-01,1.381334e-02,6.540177e-04,3.297925e-05,1.577556e-05,4.257074e-05,3.308232e-05,1.812893e-05,
-1.000000,128,128,2048,OS2-f8-accu,2.879697e+01,2.102519e+00,3.765464e-02,1.714558e-03,3.833605e-05,4.064011e-07,8.120231e-07,1.848694e-07,8.553165e-08,2.956353e-07,
-1.000000,128,128,4096,CGEMM,3.878370e-03,3.878370e-03,3.878370e-03,3.878370e-03,3.878370e-03,3.878370e-03,3.878370e-03,3.878370e-03,3.878370e-03,3.878370e-03,
-1.000000,128,128,4096,BF16x9,3.499727e-03,3.499727e-03,3.499727e-03,3.499727e-03,3.499727e-03,3.499727e-03,3.499727e-03,3.499727e-03,3.499727e-03,3.499727e-03,
-1.000000,128,128,4096,OS2-i8-fast,4.687195e+03,5.396929e+02,1.534323e+01,9.417120e-01,5.524972e-02,2.632322e-03,9.167764e-05,8.685963e-06,8.797429e-06,4.636080e-06,
-1.000000,128,128,4096,OS2-i8-accu,5.396929e+02,1.534323e+01,9.417120e-01,5.524896e-02,2.639109e-03,9.474931e-05,5.587861e-06,9.364279e-08,9.364279e-08,9.364279e-08,
-1.000000,128,128,4096,OS2-f8-fast,5.396929e+02,1.534323e+01,7.332686e-01,1.295119e-02,1.346378e-03,5.221977e-05,4.060673e-05,5.644177e-05,1.749300e-05,3.255178e-05,
-1.000000,128,128,4096,OS2-f8-accu,3.342235e+01,9.417120e-01,5.524907e-02,3.748466e-03,2.696477e-05,4.759924e-07,2.979466e-07,2.210806e-07,1.719607e-07,4.446774e-07,
-1.000000,128,128,8192,CGEMM,1.559916e-03,1.559916e-03,1.559916e-03,1.559916e-03,1.559916e-03,1.559916e-03,1.559916e-03,1.559916e-03,1.559916e-03,1.559916e-03,
