phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,1024,OS2-i8-fast-6,3.054394e+01,2.812320e-04,3.763200e-05,1.735520e-04,4.038400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-7,2.923178e+01,2.938560e-04,3.942400e-05,1.797280e-04,4.449600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-8,2.537077e+01,3.385760e-04,4.404800e-05,2.099680e-04,5.116800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-fast-9,2.485744e+01,3.455680e-04,4.619200e-05,2.114720e-04,5.396800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-6,2.573193e+01,3.338240e-04,9.094400e-05,1.735840e-04,4.025600e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-7,2.495913e+01,3.441600e-04,9.265600e-05,1.779520e-04,4.342400e-05,1.024000e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-8,2.191757e+01,3.919200e-04,9.801600e-05,2.097120e-04,5.100800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-i8-accu-9,2.142855e+01,4.008640e-04,1.006720e-04,2.119360e-04,5.395200e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-6,3.268819e+01,2.627840e-04,4.976000e-05,1.257760e-04,5.769600e-05,1.030400e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-7,2.822517e+01,3.043360e-04,5.846400e-05,1.467840e-04,6.721600e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-8,2.473376e+01,3.472960e-04,6.689600e-05,1.704640e-04,7.750400e-05,1.225600e-05,
-1.000000,1024,1024,1024,OS2-f8-fast-9,2.233426e+01,3.846080e-04,7.408000e-05,1.898720e-04,8.680000e-05,1.225600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-6,2.903417e+01,2.958560e-04,7.958400e-05,1.270880e-04,5.875200e-05,1.217600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-7,2.548156e+01,3.371040e-04,8.843200e-05,1.469280e-04,6.948800e-05,1.228800e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-8,2.247074e+01,3.822720e-04,1.000800e-04,1.693440e-04,7.958400e-05,1.225600e-05,
-1.000000,1024,1024,1024,OS2-f8-accu-9,2.043510e+01,4.203520e-04,1.085440e-04,1.897120e-04,8.838400e-05,1.225600e-05,
-1.000000,1024,1024,1024,BF16x9,1.127880e+02,7.616000e-05,,,,,
-1.000000,1024,1024,1024,CGEMM,5.716866e+01,1.502560e-04,,,,,
-1.000000,1024,1024,2048,OS2-i8-fast-6,4.972408e+01,3.455040e-04,5.753600e-05,2.196800e-04,3.976000e-05,1.024000e-05,
-1.000000,1024,1024,2048,OS2-i8-fast-7,4.787079e+01,3.588800e-04,6.145600e-05,2.228320e-04,4.398400e-05,1.225600e-05,
