phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
-1.000000,128,128,1024,ZGEMM,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,7.838475e-12,
-1.000000,128,128,1024,ZGEMM3m,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,7.860973e-12,
-1.000000,128,128,1024,OS1-7,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,4.794944e-12,
-1.000000,128,128,1024,OS1-11,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,6.943398e-12,
-1.000000,128,128,1024,OS2-i8-fast,1.087965e-02,3.137147e-04,3.436573e-05,2.049822e-06,1.855054e-07,9.618568e-09,4.779580e-10,3.668062e-11,4.092675e-12,2.872317e-13,3.975009e-15,2.224796e-14,
-1.000000,128,128,1024,OS2-i8-accu,2.256812e-05,1.110014e-06,7.608067e-08,3.195253e-09,2.942035e-10,1.630514e-11,6.335903e-13,6.981768e-14,3.161600e-16,2.115010e-16,2.168656e-16,2.136074e-16,
-1.000000,128,128,1024,OS2-f8-fast,7.532103e-05,2.049822e-06,1.855054e-07,4.020597e-09,2.294295e-10,6.970569e-12,8.810219e-13,1.034316e-13,1.011353e-14,2.323472e-14,2.671877e-14,1.390654e-14,
-1.000000,128,128,1024,OS2-f8-accu,2.026209e-07,4.020540e-09,2.942038e-10,6.964937e-12,3.225014e-13,2.424305e-15,2.174454e-16,2.130777e-16,2.145657e-16,2.122920e-16,2.168551e-16,2.140164e-16,
-1.000000,128,128,2048,ZGEMM,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,5.358317e-12,
-1.000000,128,128,2048,ZGEMM3m,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,8.770208e-12,
-1.000000,128,128,2048,OS1-7,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,3.883636e-12,
-1.000000,128,128,2048,OS1-11,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,2.353129e-12,
-1.000000,128,128,2048,OS2-i8-fast,8.609357e-03,5.747991e-04,6.021147e-05,3.806045e-06,2.208294e-07,1.707149e-08,1.326837e-09,1.120878e-10,8.634445e-12,2.731481e-13,9.688877e-15,9.491354e-14,
-1.000000,128,128,2048,OS2-i8-accu,2.122831e-05,1.733228e-06,7.183540e-08,4.749999e-09,5.324441e-10,3.732635e-11,1.230742e-12,9.965821e-14,6.390144e-16,2.144919e-16,2.114362e-16,2.122433e-16,
