phi,m,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling
-1,1024,1024,1024,OS2-i8-fast-12,19 ,4.58E-04,6.92E-05,2.75E-04,7.25E-05,1.64E-05
-1,1024,1024,1024,OS2-i8-fast-13,18 ,4.67E-04,7.24E-05,2.79E-04,7.44E-05,1.64E-05
-1,1024,1024,1024,OS2-i8-fast-14,18 ,4.77E-04,7.61E-05,2.82E-04,7.73E-05,1.64E-05
-1,1024,1024,1024,OS2-i8-fast-15,16 ,5.22E-04,7.94E-05,3.11E-04,8.58E-05,1.85E-05
-1,1024,1024,1024,OS2-i8-fast-16,16 ,5.40E-04,9.48E-05,3.12E-04,8.72E-05,1.84E-05
-1,1024,1024,1024,OS2-i8-accu-12,17 ,5.08E-04,1.18E-04,2.76E-04,7.18E-05,1.64E-05
-1,1024,1024,1024,OS2-i8-accu-13,17 ,5.16E-04,1.21E-04,2.79E-04,7.41E-05,1.64E-05
-1,1024,1024,1024,OS2-i8-accu-14,16 ,5.26E-04,1.25E-04,2.81E-04,7.66E-05,1.64E-05
-1,1024,1024,1024,OS2-i8-accu-15,15 ,5.69E-04,1.29E-04,3.11E-04,8.43E-05,1.85E-05
-1,1024,1024,1024,OS2-i8-accu-16,15 ,5.89E-04,1.46E-04,3.11E-04,8.59E-05,1.84E-05
-1,1024,1024,1024,OS2-f8-fast-12,17 ,5.20E-04,1.36E-04,2.29E-04,1.14E-04,1.64E-05
-1,1024,1024,1024,OS2-f8-fast-13,14 ,6.02E-04,1.83E-04,2.52E-04,1.25E-04,1.64E-05
-1,1024,1024,1024,OS2-f8-fast-14,14 ,6.34E-04,1.96E-04,2.61E-04,1.32E-04,1.84E-05
-1,1024,1024,1024,OS2-f8-fast-15,13 ,6.80E-04,2.10E-04,2.82E-04,1.41E-04,1.84E-05
-1,1024,1024,1024,OS2-f8-fast-16,12 ,7.11E-04,2.24E-04,2.91E-04,1.47E-04,2.05E-05
-1,1024,1024,1024,OS2-f8-accu-12,16 ,5.35E-04,1.50E-04,2.30E-04,1.14E-04,1.64E-05
-1,1024,1024,1024,OS2-f8-accu-13,14 ,6.08E-04,1.88E-04,2.52E-04,1.25E-04,1.64E-05
-1,1024,1024,1024,OS2-f8-accu-14,14 ,6.34E-04,1.98E-04,2.60E-04,1.30E-04,1.84E-05
-1,1024,1024,1024,OS2-f8-accu-15,13 ,6.79E-04,2.10E-04,2.83E-04,1.41E-04,1.84E-05
-1,1024,1024,1024,OS2-f8-accu-16,12 ,7.08E-04,2.24E-04,2.90E-04,1.47E-04,2.05E-05
-1,1024,1024,1024,OS1-7,36 ,2.38E-04,,,,
-1,1024,1024,1024,OS1-11,25 ,3.46E-04,,,,
-1,1024,1024,1024,ZGEMM,33 ,2.58E-04,,,,
-1,1024,1024,1024,ZGEMM3m,42 ,2.07E-04,,,,
-1,1024,1024,2048,OS2-i8-fast-12,30 ,5.69E-04,1.22E-04,3.35E-04,7.13E-05,1.64E-05
-1,1024,1024,2048,OS2-i8-fast-13,30 ,5.80E-04,1.28E-04,3.38E-04,7.27E-05,1.64E-05
-1,1024,1024,2048,OS2-i8-fast-14,29 ,5.95E-04,1.35E-04,3.40E-04,7.72E-05,1.64E-05
-1,1024,1024,2048,OS2-i8-fast-15,27 ,6.48E-04,1.42E-04,3.76E-04,8.40E-05,1.84E-05
-1,1024,1024,2048,OS2-i8-fast-16,25 ,6.89E-04,1.79E-04,3.78E-04,8.57E-05,1.84E-05
-1,1024,1024,2048,OS2-i8-accu-12,27 ,6.25E-04,1.79E-04,3.36E-04,6.94E-05,1.64E-05
-1,1024,1024,2048,OS2-i8-accu-13,27 ,6.38E-04,1.86E-04,3.38E-04,7.28E-05,1.64E-05
-1,1024,1024,2048,OS2-i8-accu-14,26 ,6.51E-04,1.91E-04,3.39E-04,7.73E-05,1.64E-05
-1,1024,1024,2048,OS2-i8-accu-15,24 ,7.04E-04,1.98E-04,3.76E-04,8.39E-05,1.85E-05
-1,1024,1024,2048,OS2-i8-accu-16,23 ,7.47E-04,2.37E-04,3.77E-04,8.64E-05,1.84E-05
-1,1024,1024,2048,OS2-f8-fast-12,25 ,6.80E-04,2.44E-04,2.75E-04,1.20E-04,1.64E-05
-1,1024,1024,2048,OS2-f8-fast-13,21 ,8.04E-04,3.28E-04,3.02E-04,1.32E-04,1.64E-05
-1,1024,1024,2048,OS2-f8-fast-14,20 ,8.54E-04,3.51E-04,3.17E-04,1.41E-04,1.84E-05
-1,1024,1024,2048,OS2-f8-fast-15,19 ,9.13E-04,3.75E-04,3.40E-04,1.52E-04,1.84E-05
-1,1024,1024,2048,OS2-f8-fast-16,18 ,9.62E-04,4.00E-04,3.54E-04,1.59E-04,2.05E-05
-1,1024,1024,2048,OS2-f8-accu-12,25 ,6.84E-04,2.49E-04,2.74E-04,1.19E-04,1.64E-05
-1,1024,1024,2048,OS2-f8-accu-13,21 ,8.02E-04,3.26E-04,3.01E-04,1.32E-04,1.64E-05
-1,1024,1024,2048,OS2-f8-accu-14,20 ,8.47E-04,3.46E-04,3.16E-04,1.40E-04,1.84E-05
-1,1024,1024,2048,OS2-f8-accu-15,19 ,9.01E-04,3.67E-04,3.38E-04,1.50E-04,1.84E-05
-1,1024,1024,2048,OS2-f8-accu-16,18 ,9.47E-04,3.87E-04,3.52E-04,1.58E-04,2.05E-05
-1,1024,1024,2048,OS1-7,43 ,3.95E-04,,,,
-1,1024,1024,2048,OS1-11,28 ,6.10E-04,,,,
-1,1024,1024,2048,ZGEMM,37 ,4.66E-04,,,,
-1,1024,1024,2048,ZGEMM3m,43 ,4.00E-04,,,,
-1,1024,1024,4096,OS2-i8-fast-12,44 ,7.83E-04,2.20E-04,4.50E-04,7.13E-05,1.64E-05
-1,1024,1024,4096,OS2-i8-fast-13,43 ,7.99E-04,2.31E-04,4.52E-04,7.41E-05,1.64E-05
-1,1024,1024,4096,OS2-i8-fast-14,42 ,8.21E-04,2.44E-04,4.55E-04,7.84E-05,1.64E-05
-1,1024,1024,4096,OS2-i8-fast-15,39 ,8.90E-04,2.56E-04,5.03E-04,8.53E-05,1.84E-05
-1,1024,1024,4096,OS2-i8-fast-16,36 ,9.61E-04,3.20E-04,5.07E-04,8.81E-05,1.84E-05
-1,1024,1024,4096,OS2-i8-accu-12,41 ,8.48E-04,2.87E-04,4.48E-04,7.02E-05,1.64E-05
-1,1024,1024,4096,OS2-i8-accu-13,40 ,8.66E-04,2.99E-04,4.51E-04,7.33E-05,1.64E-05
-1,1024,1024,4096,OS2-i8-accu-14,39 ,8.84E-04,3.10E-04,4.53E-04,7.75E-05,1.64E-05
-1,1024,1024,4096,OS2-i8-accu-15,36 ,9.54E-04,3.22E-04,5.02E-04,8.41E-05,1.85E-05
